,0,1,2,3,4,5,6
0,(-0.44036865234375+0j),(0.042022705078125+0j),(0.050140380859375+0j),(-0.107452392578125+0j),(-0.0462646484375+0j),(-0.13330078125+0j),(-0.053131103515625+0j)
1,(0.0042724609375+0j),(-0.260955810546875+0j),(0.043212890625+0j),(-0.018890380859375+0j),(0.090087890625+0j),(0.027008056640625+0j),(-0.018096923828125-0.04852294921875j)
2,(0.1282958984375+0j),(-0.265777587890625+0j),(0.053070068359375+0j),(-0.071563720703125+0j),(-0.2203369140625+0j),(0.0870361328125+0j),(-0.05743408203125+0.066802978515625j)
3,(-0.07806396484375+0j),(0.074371337890625+0j),(-0.165191650390625+0j),(-0.099456787109375+0j),(-0.03607177734375+0j),-0.063079833984375j,(0.117706298828125+0.013153076171875j)
4,(0.1734619140625+0j),(-0.3289794921875+0j),(-0.197479248046875+0j),(0.014923095703125+0j),(-0.061187744140625+0j),(-0.03057861328125-0.074371337890625j),(0.009857177734375-0.0087890625j)
5,(-0.025543212890625+0j),(0.271636962890625+0j),(0.423095703125+0j),(0.1990966796875+0j),(-0.077056884765625+0.077056884765625j),(-0.01611328125+0.0609130859375j),(-0.01361083984375+0.02264404296875j)
6,(0.035797119140625+0j),(-0.400177001953125+0j),(-0.423065185546875+0j),(-0.369140625+0j),-0.148773193359375j,(-0.03057861328125+0.074371337890625j),(-0.05615234375-0.03729248046875j)
7,(-0.595550537109375+0j),(0.1741943359375+0j),(0.191314697265625+0j),(0.02728271484375+0j),(0.0447998046875+0.0447998046875j),(0.01611328125+0.0609130859375j),(-0.050811767578125+0.020904541015625j)
8,(-0.779205322265625+0j),(-0.7576904296875+0j),(-0.26507568359375+0j),(0.1575927734375+0j),(0.07879638671875+0.106201171875j),(0.070953369140625+0.04058837890625j),(-0.023345947265625-0.0067138671875j)
9,(-0.48980712890625+0j),(-0.602325439453125+0j),(-0.081024169921875+0j),(0.057373046875-0.023773193359375j),(-0.01416015625-0.1153564453125j),(-0.051239013671875-0.05816650390625j),(-0.040130615234375-0.074493408203125j)
10,(0.55963134765625+0j),(0.2420654296875+0j),(-0.196197509765625+0j),(0.088134765625-0.088134765625j),(0.063140869140625-0.024993896484375j),(0.0078125+0.065582275390625j),(-0.02960205078125+0.018310546875j)
11,(-0.949188232421875+0j),(-0.208770751953125+0j),(-0.033721923828125+0j),(-0.025146484375+0.06072998046875j),(-0.088348388671875-0.001007080078125j),(-0.057159423828125-0.037078857421875j),(-0.031890869140625+0.016571044921875j)
12,(-0.295623779296875+0j),(-0.16070556640625+0j),(0.227325439453125+0j),0.21240234375j,(0.07879638671875-0.106201171875j),(0.0078125-0.065582275390625j),(0.032470703125-0.05133056640625j)
13,(-0.1552734375+0j),(0.131011962890625+0j),(-0.02490234375+0j),(-0.085723876953125-0.206939697265625j),(0.115325927734375+0.01416015625j),(0.05712890625-0.037109375j),(0.045654296875-0.006256103515625j)
14,(0.106109619140625+0j),(-0.205108642578125+0j),(-0.315216064453125+0j),(0.03814697265625+0.03814697265625j),(-0.063140869140625-0.024993896484375j),(0.070953369140625-0.04058837890625j),(0.003997802734375-0.05767822265625j)
15,(-0.1329345703125+0j),(0.291534423828125+0j),(-0.136749267578125+0j),(-0.15155029296875-0.062774658203125j),(-0.00103759765625-0.08837890625j),(0.05126953125-0.05816650390625j),(0.027191162109375+0.0211181640625j)
16,(0.7108154296875+0j),(0.05828857421875+0j),(-0.00811767578125+0j),(-0.004058837890625+0.246307373046875j),(0.043304443359375+0.214996337890625j),(-0.0477294921875+0.064208984375j),(0.04351806640625-0.031524658203125j)
17,(0.87457275390625+0j),(0.347381591796875+0j),(-0.298309326171875+0.059356689453125j),(-0.098297119140625+0.285308837890625j),(-0.102569580078125+0.1524658203125j),(-0.067138671875+0.069427490234375j),(-0.123626708984375-0.030242919921875j)
18,(0.137420654296875+0j),(0.371917724609375+0j),(-0.2945556640625+0.12200927734375j),(-0.23114013671875-0.141448974609375j),(-0.1387939453125-0.0865478515625j),(0.091033935546875+0.1507568359375j),(0.087005615234375+0.09307861328125j)
19,(-0.59503173828125+0j),(-0.40478515625+0j),(0.199188232421875-0.133087158203125j),(0.148193359375+0.0062255859375j),(-0.03173828125-0.013580322265625j),(0.0830078125+0.035400390625j),(0.0140380859375+0.048980712890625j)
20,(0.750091552734375+0j),(-0.06597900390625+0j),(-0.092987060546875+0.092987060546875j),(0.0906982421875+0.183685302734375j),(-0.04736328125+0.03131103515625j),(-0.051116943359375+0.061798095703125j),(-0.024658203125+0.014251708984375j)
21,(0.7113037109375+0j),(0.5745849609375+0j),(-0.084136962890625+0.125946044921875j),(-0.10687255859375+0.0196533203125j),(0.096954345703125+0.09088134765625j),(-0.00811767578125-0.025177001953125j),(-0.06170654296875-0.02752685546875j)
22,(-0.071502685546875+0j),(-0.445953369140625+0j),(0.008758544921875-0.021148681640625j),(-0.046478271484375-0.031646728515625j),(-0.054901123046875+0.092315673828125j),(0.003753662109375-0.030487060546875j),(-0.021484375-0.043487548828125j)
23,(0.595916748046875+0j),(0.208465576171875+0j),(-0.003326416015625+0.01678466796875j),(-0.211700439453125-0.03338623046875j),(-0.11322021484375-0.1412353515625j),(0.116058349609375-0.105072021484375j),(0.021514892578125-0.043670654296875j)
24,(0.768798828125+0j),(0.2275390625+0j),0.49261474609375j,(-0.004058837890625-0.246307373046875j),(-0.04736328125-0.03131103515625j),(0.003753662109375+0.030487060546875j),(-0.007232666015625+0.067626953125j)
25,(0.901824951171875+0j),(0.44024658203125+0j),(0.101715087890625+0.51129150390625j),(-0.271240234375-0.1322021484375j),(-0.090850830078125-0.096923828125j),(-0.116058349609375-0.105072021484375j),(-0.05419921875+0.02642822265625j)
26,(-0.542022705078125+0j),(-0.634490966796875+0j),(-0.167724609375-0.4049072265625j),(0.1414794921875+0.231109619140625j),(0.054901123046875+0.092315673828125j),(-0.051116943359375-0.061798095703125j),(0.059906005859375-0.067779541015625j)
27,(-0.565399169921875+0j),(0.14129638671875+0j),(0.09722900390625+0.145538330078125j),(-0.109222412109375-0.10040283203125j),(-0.141265869140625-0.113250732421875j),(0.008148193359375-0.02520751953125j),(-0.037628173828125+0.038421630859375j)
28,(0.60546875+0j),(0.6153564453125+0j),(0.274383544921875+0.274383544921875j),(-0.0906982421875+0.183685302734375j),(0.043304443359375-0.214996337890625j),(0.091033935546875-0.1507568359375j),(0.06109619140625-0.04937744140625j)
29,(-0.45819091796875+0j),(-0.18084716796875+0j),(-0.129638671875-0.086639404296875j),(0.089508056640625-0.061676025390625j),(-0.1524658203125+0.10260009765625j),(-0.0830078125+0.035400390625j),(-0.05364990234375+0.05712890625j)
30,(-0.4512939453125+0j),(-0.425323486328125+0j),(-0.101715087890625-0.042144775390625j),(-0.031646728515625-0.046478271484375j),(0.1387939453125-0.0865478515625j),(-0.0477294921875-0.064208984375j),(0.00970458984375+0.002593994140625j)
31,(-0.902130126953125+0j),(-0.5650634765625+0j),(-0.420074462890625-0.08355712890625j),(-0.173309326171875-0.1260986328125j),(-0.013580322265625-0.031768798828125j),(0.067169189453125+0.069427490234375j),(0.0181884765625+0.129791259765625j)
32,(0.5244140625+0j),(-0.482391357421875+0j),(-0.241180419921875-0.326263427734375j),(-0.220062255859375-0.2550048828125j),(-0.096343994140625-0.229705810546875j),(9.1552734375e-05-0.1783447265625j),(-0.08013916015625+0j)
33,(-0.52618408203125+0j),(0.263946533203125-0.0260009765625j),(0.10614013671875-0.27532958984375j),(-0.018280029296875-0.23260498046875j),(-0.02716064453125-0.069549560546875j),(-0.036285400390625+0.081268310546875j),(0.0181884765625-0.129791259765625j)
34,(-0.65985107421875+0j),(0.386505126953125-0.076904296875j),(0.21612548828125+0.0765380859375j),(0.1329345703125-0.040557861328125j),(0.096527099609375-0.126983642578125j),(-0.096435546875-0.051361083984375j),(0.00970458984375-0.002593994140625j)
35,(0.226806640625+0j),(-0.1458740234375+0.04425048828125j),(-0.045318603515625+0.113128662109375j),(0.0458984375+0.3031005859375j),(-0.04541015625+0.232086181640625j),(-0.15081787109375-0.009124755859375j),(-0.05364990234375-0.057098388671875j)
36,(-0.831451416015625+0j),(0.46417236328125-0.192291259765625j),(0.075927734375-0.473114013671875j),(0.02734375-0.204437255859375j),(-0.123687744140625-0.0252685546875j),(-0.01861572265625-0.03082275390625j),(0.06109619140625+0.04937744140625j)
37,(0.568817138671875+0j),(-0.2620849609375+0.140106201171875j),(-0.16326904296875+0.009765625j),(-0.03607177734375+0.093475341796875j),(-0.1090087890625-0.121551513671875j),(-0.061676025390625-0.1181640625j),(-0.03759765625-0.038421630859375j)
38,(-0.836151123046875+0j),(0.36248779296875-0.242218017578125j),(0.07720947265625-0.276763916015625j),(0.060150146484375-0.213409423828125j),(0.08642578125-0.036376953125j),(-0.10504150390625+0.00555419921875j),(0.059906005859375+0.067779541015625j)
39,(0.943939208984375+0j),(-0.59503173828125+0.488311767578125j),(-0.42041015625+0.094390869140625j),(-0.136749267578125+0.16107177734375j),(-0.01434326171875-0.11480712890625j),(-0.00335693359375+0.047332763671875j),(-0.05419921875-0.02642822265625j)
40,(-0.736175537109375+0j),(-0.015228271484375+0.015228271484375j),(-0.198974609375-0.183746337890625j),(-0.021087646484375-0.071258544921875j),(-0.144866943359375-0.059906005859375j),(-0.051239013671875-0.015777587890625j),(-0.007232666015625-0.067626953125j)
41,(-0.714874267578125+0j),(0.071380615234375-0.08697509765625j),(-0.142730712890625-0.18988037109375j),(0.09857177734375-0.087066650390625j),(0.034942626953125+0.03125j),(0.02398681640625+0.061065673828125j),(0.021514892578125+0.043670654296875j)
42,(-0.07550048828125+0j),(0.176422119140625-0.2640380859375j),(0.049774169921875-0.157684326171875j),(0.1416015625+0.02398681640625j),(0.042388916015625+0.028350830078125j),(-0.0936279296875-0.04412841796875j),(-0.021484375+0.043487548828125j)
43,(0.531646728515625+0j),(-0.3489990234375+0.65301513671875j),(0.13714599609375+0.493072509765625j),(-0.210418701171875+0.0115966796875j),(0.0130615234375+0.09088134765625j),(-0.029815673828125-0.01092529296875j),(-0.06170654296875+0.02752685546875j)
44,(-0.02581787109375+0j),(-0.051605224609375+0.1246337890625j),(-0.021240234375+0.064208984375j),(-0.268646240234375-0.048583984375j),(0.123779296875-0.011322021484375j),(0.0596923828125-0.055267333984375j),(-0.024658203125-0.01422119140625j)
45,(0.41729736328125+0j),(-0.083099365234375+0.273956298828125j),(0.09112548828125+0.177215576171875j),(-0.028656005859375+0.149566650390625j),(-0.0386962890625-0.128631591796875j),(0.0316162109375+0.042724609375j),(0.0140380859375-0.048980712890625j)
46,(-0.516357421875+0j),(0.060699462890625-0.305267333984375j),(0.0430908203125-0.15008544921875j),(-0.05682373046875+0.03271484375j),(-0.004364013671875-0.099212646484375j),(0.064056396484375+0.0439453125j),(0.087005615234375-0.09307861328125j)
47,(0.71600341796875+0j),(-0.041595458984375+0.422454833984375j),(0.14691162109375+0.227752685546875j),(0.236572265625+0.170166015625j),(0.101959228515625+0.214080810546875j),(-0.171356201171875+0.0703125j),(-0.123626708984375+0.030242919921875j)
48,(-0.59423828125+0j),-0.65252685546875j,(-0.241180419921875+0.326263427734375j),(-0.021087646484375+0.071258544921875j),(0.123779296875+0.011322021484375j),(0.064056396484375-0.0439453125j),(0.04351806640625+0.031524658203125j)
49,(-0.1798095703125+0j),(-0.051666259765625-0.524688720703125j),(0.20343017578125+0.2137451171875j),(0.13128662109375-0.0081787109375j),(0.128631591796875+0.03863525390625j),(0.171356201171875+0.070281982421875j),(0.027191162109375-0.0211181640625j)
50,(0.606414794921875+0j),(0.045745849609375+0.230010986328125j),(0.09869384765625-0.20697021484375j),(-0.02398681640625-0.141632080078125j),(0.00433349609375-0.0992431640625j),(0.059722900390625+0.055267333984375j),(0.003997802734375+0.05767822265625j)
51,(-0.214569091796875+0j),(0.05523681640625+0.182037353515625j),(-0.12188720703125-0.00140380859375j),(0.140594482421875+0.156982421875j),(0.214080810546875+0.101959228515625j),(-0.031646728515625+0.042724609375j),(0.045684814453125+0.006256103515625j)
52,(-0.882049560546875+0j),(-0.31231689453125-0.75396728515625j),(0.473114013671875-0.075958251953125j),(0.268646240234375-0.048583984375j),(-0.144866943359375+0.059906005859375j),(-0.0936279296875+0.044097900390625j),(0.032470703125+0.05133056640625j)
53,(0.437896728515625+0j),(-0.064453125-0.12054443359375j),(0.053436279296875+0.154541015625j),(0.126007080078125+0.08544921875j),(-0.03125-0.03497314453125j),(0.029815673828125-0.010955810546875j),(-0.031890869140625-0.0166015625j)
54,(-0.8204345703125+0j),(-0.208038330078125-0.31134033203125j),(0.14105224609375-0.250335693359375j),(0.032684326171875-0.056854248046875j),(-0.042388916015625+0.0283203125j),(-0.051239013671875+0.015777587890625j),(-0.029632568359375-0.018280029296875j)
