,0,1,2
0,"[16, 16, 16, 16, 16, 16]","[11, 16, 16, 16, 16, 16]",51.331622979235824
1,"[15, 16, 16, 16, 16, 16]","[11, 15, 16, 16, 16, 16]",51.190735888540466
2,"[14, 16, 16, 16, 16, 16]","[11, 14, 16, 16, 16, 16]",50.891135540548255
3,"[13, 16, 16, 16, 16, 16]","[11, 13, 16, 16, 16, 16]",50.090336708718986
4,"[12, 16, 16, 16, 16, 16]","[11, 12, 16, 16, 16, 16]",48.84385553516674
5,"[13, 16, 16, 16, 16, 16]","[11, 13, 16, 16, 16, 16]",50.090336708718986
6,"[13, 15, 16, 16, 16, 16]","[11, 13, 15, 16, 16, 16]",49.94654844210084
7,"[13, 16, 16, 16, 16, 16]","[11, 13, 16, 16, 16, 16]",50.090336708718986
8,"[13, 16, 15, 16, 16, 16]","[11, 13, 16, 15, 16, 16]",49.857148965537434
9,"[13, 16, 16, 16, 16, 16]","[11, 13, 16, 16, 16, 16]",50.090336708718986
10,"[13, 16, 16, 15, 15, 16]","[11, 13, 16, 16, 15, 15]",49.309076128010126
