,0,1,2
0,"[16, 16, 16, 16, 16, 16]","[12, 16, 16, 16, 16, 16]",56.27932628278354
1,"[15, 16, 16, 16, 16, 16]","[12, 15, 16, 16, 16, 16]",56.04277237077277
2,"[14, 16, 16, 16, 16, 16]","[12, 14, 16, 16, 16, 16]",55.512975350804346
3,"[13, 16, 16, 16, 16, 16]","[12, 13, 16, 16, 16, 16]",54.119060444794826
4,"[14, 16, 16, 16, 16, 16]","[12, 14, 16, 16, 16, 16]",55.512975350804346
5,"[14, 15, 16, 16, 16, 16]","[12, 14, 15, 16, 16, 16]",55.21089062714789
6,"[14, 14, 16, 16, 16, 16]","[12, 14, 14, 16, 16, 16]",54.50482092772966
7,"[14, 15, 16, 16, 16, 16]","[12, 14, 15, 16, 16, 16]",55.21089062714789
8,"[14, 15, 15, 16, 16, 16]","[12, 14, 15, 15, 16, 16]",54.725808643281916
9,"[14, 15, 16, 16, 16, 16]","[12, 14, 15, 16, 16, 16]",55.21089062714789
10,"[14, 15, 16, 15, 15, 16]","[12, 14, 15, 16, 15, 15]",53.64143521028827
