,0
0,0.10661029815673828
1,0.04869667935837316
2,0.0730915484465106
3,0.11078764790544722
4,0.032497317330492916
5,0.08587206056904063
6,0.04850929366577702
7,0.017748665103027035
8,0.04207045600274524
9,0.0788970754448262
10,0.024078583877727266
11,0.01722129089468784
12,0.09344602934579382
13,0.05264525084453343
14,0.065006899840403
15,0.052893696835069746
16,0.018828379360968164
17,0.07533864333324383
18,0.05098507592500643
19,0.11366424424734724
20,0.024498109310081354
21,0.05848113882125412
22,0.024964318206202558
23,0.09800851290557239
24,0.0056776091850738305
25,0.09501315826839853
26,0.11690867873199565
27,0.03230884642869762
28,0.023233148981505223
29,0.1176258999384471
30,0.06181536010043615
31,0.07821299208942592
32,0.05905342102050781
33,0.07821299208942592
34,0.06181536010043615
35,0.1176258999384471
36,0.023233148981505223
37,0.03230884642869762
38,0.11690867873199565
39,0.09501315826839853
40,0.0056776091850738305
41,0.09800851290557239
42,0.024964318206202558
43,0.05848113882125412
44,0.024498109310081354
45,0.11366424424734724
46,0.05098507592500643
47,0.07533864333324383
48,0.018828379360968164
49,0.052893696835069746
50,0.065006899840403
51,0.05264525084453343
52,0.09344602934579382
53,0.01722129089468784
54,0.024078583877727266
55,0.0788970754448262
56,0.04207045600274524
57,0.017748665103027035
58,0.04850929366577702
59,0.08587206056904063
60,0.032497317330492916
61,0.11078764790544722
62,0.0730915484465106
63,0.04869667935837316
