,0,1
0,"[16, 16, 16, 16, 16, 16]",45.78679697041025
1,"[15, 16, 16, 16, 16, 16]",45.78810087031638
2,"[14, 16, 16, 16, 16, 16]",45.769400521744295
3,"[13, 16, 16, 16, 16, 16]",45.74029797476478
4,"[12, 16, 16, 16, 16, 16]",45.63327567331355
5,"[11, 16, 16, 16, 16, 16]",45.309635025190445
6,"[10, 16, 16, 16, 16, 16]",44.42453706871373
7,"[11, 16, 16, 16, 16, 16]",45.309635025190445
8,"[11, 15, 16, 16, 16, 16]",45.30857500855385
9,"[11, 14, 16, 16, 16, 16]",45.29138097772885
10,"[11, 13, 16, 16, 16, 16]",45.24530618940002
11,"[11, 12, 16, 16, 16, 16]",45.05947118560135
12,"[11, 11, 16, 16, 16, 16]",44.319124603376984
13,"[11, 12, 16, 16, 16, 16]",45.05947118560135
14,"[11, 12, 15, 16, 16, 16]",45.05732161595296
15,"[11, 12, 14, 16, 16, 16]",45.04690056688939
16,"[11, 12, 13, 16, 16, 16]",44.948511520938155
17,"[11, 12, 14, 16, 16, 16]",45.04690056688939
18,"[11, 12, 14, 15, 15, 16]",44.96554446054951
