,0,1,2,3,4,5
0,(0.0205078125+0j),(0.0205078125+0j),(0.0205078125+0j),(0.020538330078125+0j),(0.02056884765625+0j),(0.0205078125+0j)
1,(-0.069854736328125+0.066375732421875j),(-0.06982421875+0.066375732421875j),(-0.06982421875+0.066375732421875j),(-0.06976318359375+0.066436767578125j),(-0.06982421875+0.06634521484375j),(-0.06982421875+0.0662841796875j)
2,(-0.056365966796875-0.0787353515625j),(-0.056365966796875-0.0787353515625j),(-0.056365966796875-0.078704833984375j),(-0.056365966796875-0.0787353515625j),(-0.05633544921875-0.0787353515625j),(-0.0562744140625-0.0787353515625j)
3,(0.04974365234375-0.0263671875j),(0.049713134765625-0.0263671875j),(0.049713134765625-0.0263671875j),(0.049713134765625-0.026397705078125j),(0.04974365234375-0.02642822265625j),(0.0496826171875-0.0263671875j)
4,(-0.02130126953125-0.0665283203125j),(-0.02130126953125-0.066497802734375j),(-0.02130126953125-0.0665283203125j),(-0.021331787109375-0.0665283203125j),(-0.021240234375-0.0665283203125j),(-0.021240234375-0.0665283203125j)
5,(-0.02972412109375-0.0107421875j),(-0.02972412109375-0.010772705078125j),(-0.02972412109375-0.0107421875j),(-0.029693603515625-0.0107421875j),(-0.02972412109375-0.0107421875j),(-0.0296630859375-0.0107421875j)
6,(0.04315185546875-0.066925048828125j),(0.043121337890625-0.06689453125j),(0.043121337890625-0.06689453125j),(0.043121337890625-0.06689453125j),(0.0430908203125-0.06695556640625j),(0.0430908203125-0.06689453125j)
7,(0.008758544921875+0.06280517578125j),(0.0087890625+0.06280517578125j),(0.008819580078125+0.06280517578125j),(0.008819580078125+0.062774658203125j),(0.0087890625+0.062744140625j),(0.0087890625+0.062744140625j)
8,(0.074859619140625-0.048675537109375j),(0.0748291015625-0.048675537109375j),(0.0748291015625-0.048675537109375j),(0.074859619140625-0.048675537109375j),(0.0748291015625-0.0487060546875j),(0.0748291015625-0.048583984375j)
9,(-0.0494384765625-0.06951904296875j),(-0.0494384765625-0.06951904296875j),(-0.0494384765625-0.069488525390625j),(-0.04937744140625-0.069488525390625j),(-0.0494384765625-0.0694580078125j),(-0.0494384765625-0.0694580078125j)
10,(-0.025848388671875+0.01519775390625j),(-0.02581787109375+0.01519775390625j),(-0.025848388671875+0.01519775390625j),(-0.02581787109375+0.015228271484375j),(-0.0257568359375+0.01519775390625j),(-0.0257568359375+0.01513671875j)
11,(0.085662841796875+0.019622802734375j),(0.085662841796875+0.019622802734375j),(0.085662841796875+0.019622802734375j),(0.08563232421875+0.019622802734375j),(0.085693359375+0.01953125j),(0.0855712890625+0.01953125j)
12,(-0.013336181640625-0.019683837890625j),(-0.013336181640625-0.019683837890625j),(-0.013336181640625-0.019683837890625j),(-0.01336669921875-0.0196533203125j),(-0.0133056640625-0.0196533203125j),(-0.0133056640625-0.0196533203125j)
13,(-0.063720703125-0.045806884765625j),(-0.063720703125-0.045806884765625j),(-0.063720703125-0.045806884765625j),(-0.063720703125-0.045806884765625j),(-0.06365966796875-0.0457763671875j),(-0.063720703125-0.0457763671875j)
14,(-0.035003662109375+0.0499267578125j),(-0.035003662109375+0.0499267578125j),(-0.03497314453125+0.0499267578125j),(-0.0350341796875+0.049896240234375j),(-0.03497314453125+0.04986572265625j),(-0.034912109375+0.0499267578125j)
15,(-0.041839599609375-0.01617431640625j),(-0.041839599609375-0.016204833984375j),(-0.041839599609375-0.01617431640625j),(-0.041839599609375-0.01617431640625j),(-0.04180908203125-0.01611328125j),(-0.041748046875-0.01611328125j)
16,(-0.01104736328125+0.051422119140625j),(-0.011016845703125+0.051422119140625j),(-0.01104736328125+0.05145263671875j),(-0.01104736328125+0.051422119140625j),(-0.01104736328125+0.0513916015625j),(-0.010986328125+0.0513916015625j)
17,(0.085968017578125-0.0008544921875j),(0.085968017578125-0.000823974609375j),(0.085968017578125-0.000823974609375j),(0.085968017578125-0.0008544921875j),(0.0859375-0.0008544921875j),(0.0859375-0.000732421875j)
18,(-0.049041748046875+0.028350830078125j),(-0.049041748046875+0.028350830078125j),(-0.049041748046875+0.0283203125j),(-0.049072265625+0.028289794921875j),(-0.04901123046875+0.02838134765625j),(-0.0489501953125+0.0283203125j)
19,(-0.055816650390625-0.0167236328125j),(-0.055816650390625-0.0167236328125j),(-0.0557861328125-0.0167236328125j),(-0.055816650390625-0.016693115234375j),(-0.0557861328125-0.0167236328125j),(-0.0557861328125-0.0167236328125j)
20,(-0.074493408203125+0.0045166015625j),(-0.074493408203125+0.0045166015625j),(-0.074493408203125+0.0045166015625j),(-0.074493408203125+0.0045166015625j),(-0.074462890625+0.0045166015625j),(-0.074462890625+0.0045166015625j)
21,(-0.0867919921875-0.01318359375j),(-0.086761474609375-0.013214111328125j),(-0.086761474609375-0.01318359375j),(-0.086761474609375-0.01318359375j),(-0.0867919921875-0.01318359375j),(-0.0867919921875-0.01318359375j)
22,(0.0111083984375-0.0867919921875j),(0.0111083984375-0.0867919921875j),(0.011138916015625-0.0867919921875j),(0.0111083984375-0.086761474609375j),(0.01116943359375-0.08673095703125j),(0.0111083984375-0.0867919921875j)
23,(0.0098876953125-0.025604248046875j),(0.0098876953125-0.025634765625j),(0.0098876953125-0.025634765625j),(0.0098876953125-0.02557373046875j),(0.0098876953125-0.025634765625j),(0.0098876953125-0.0255126953125j)
24,(-0.090850830078125+0.080474853515625j),(-0.090850830078125+0.080474853515625j),(-0.090850830078125+0.080474853515625j),(-0.090850830078125+0.080474853515625j),(-0.0908203125+0.0804443359375j),(-0.0908203125+0.0804443359375j)
25,(-0.041717529296875-0.036163330078125j),(-0.041717529296875-0.0361328125j),(-0.041717529296875-0.0361328125j),(-0.041717529296875-0.0361328125j),(-0.04168701171875-0.0361328125j),(-0.0416259765625-0.0361328125j)
26,(-0.02459716796875+0.080657958984375j),(-0.024566650390625+0.08062744140625j),(-0.0245361328125+0.08062744140625j),(-0.024627685546875+0.08062744140625j),(-0.02459716796875+0.08062744140625j),(-0.0245361328125+0.08056640625j)
27,(0.00909423828125+0.112091064453125j),(0.00909423828125+0.112091064453125j),(0.009063720703125+0.11212158203125j),(0.00909423828125+0.112091064453125j),(0.00909423828125+0.112060546875j),(0.009033203125+0.112060546875j)
28,(-0.020477294921875+0.070587158203125j),(-0.020477294921875+0.070556640625j),(-0.02044677734375+0.070587158203125j),(-0.020477294921875+0.070587158203125j),(-0.02044677734375+0.070556640625j),(-0.0203857421875+0.070556640625j)
29,(0.088104248046875+0.043060302734375j),(0.088104248046875+0.043060302734375j),(0.088104248046875+0.043060302734375j),(0.088104248046875+0.04302978515625j),(0.08807373046875+0.04302978515625j),(0.088134765625+0.0430908203125j)
30,(-0.03033447265625-0.106536865234375j),(-0.03033447265625-0.106536865234375j),(-0.03033447265625-0.10650634765625j),(-0.03033447265625-0.106475830078125j),(-0.03033447265625-0.10650634765625j),(-0.0302734375-0.1064453125j)
31,(-0.032257080078125+0.060089111328125j),(-0.032257080078125+0.060089111328125j),(-0.0322265625+0.06005859375j),(-0.032257080078125+0.06005859375j),(-0.03228759765625+0.06005859375j),(-0.0322265625+0.06005859375j)
32,(0.05682373046875+0j),(0.05682373046875+0j),(0.05682373046875+0j),(0.056854248046875+0j),(0.05682373046875+0j),(0.0567626953125+0j)
33,(-0.0322265625-0.06011962890625j),(-0.0322265625-0.060150146484375j),(-0.0322265625-0.06011962890625j),(-0.0322265625-0.060150146484375j),(-0.0322265625-0.06011962890625j),(-0.0322265625-0.06005859375j)
34,(-0.030303955078125+0.106597900390625j),(-0.030303955078125+0.106597900390625j),(-0.030303955078125+0.1065673828125j),(-0.030303955078125+0.1065673828125j),(-0.03033447265625+0.1065673828125j),(-0.0302734375+0.1065673828125j)
35,(0.088134765625-0.043060302734375j),(0.088134765625-0.043060302734375j),(0.088165283203125-0.043060302734375j),(0.088165283203125-0.042999267578125j),(0.08807373046875-0.04302978515625j),(0.088134765625-0.04296875j)
36,(-0.020477294921875-0.070587158203125j),(-0.020477294921875-0.070556640625j),(-0.020477294921875-0.070556640625j),(-0.020477294921875-0.070556640625j),(-0.0205078125-0.070556640625j),(-0.0203857421875-0.070556640625j)
37,(0.00909423828125-0.11212158203125j),(0.009063720703125-0.112091064453125j),(0.009063720703125-0.11212158203125j),(0.009063720703125-0.11212158203125j),(0.00909423828125-0.112060546875j),(0.009033203125-0.112060546875j)
38,(-0.024627685546875-0.080657958984375j),(-0.024566650390625-0.08062744140625j),(-0.024566650390625-0.08062744140625j),(-0.024627685546875-0.08062744140625j),(-0.024658203125-0.08062744140625j),(-0.0245361328125-0.08056640625j)
39,(-0.04168701171875+0.0361328125j),(-0.041717529296875+0.0361328125j),(-0.04168701171875+0.0361328125j),(-0.041717529296875+0.036102294921875j),(-0.0416259765625+0.0361328125j),(-0.0416259765625+0.0361328125j)
40,(-0.090850830078125-0.080474853515625j),(-0.090850830078125-0.080474853515625j),(-0.090850830078125-0.080474853515625j),(-0.090850830078125-0.080474853515625j),(-0.0908203125-0.0804443359375j),(-0.0908203125-0.0804443359375j)
41,(0.0098876953125+0.025604248046875j),(0.0098876953125+0.025634765625j),(0.0098876953125+0.025634765625j),(0.0098876953125+0.025604248046875j),(0.0098876953125+0.025634765625j),(0.0098876953125+0.0255126953125j)
42,(0.0111083984375+0.086822509765625j),(0.011077880859375+0.0867919921875j),(0.0111083984375+0.086822509765625j),(0.0111083984375+0.086761474609375j),(0.0111083984375+0.08673095703125j),(0.0111083984375+0.0867919921875j)
43,(-0.086761474609375+0.013153076171875j),(-0.086761474609375+0.01318359375j),(-0.08673095703125+0.01318359375j),(-0.08673095703125+0.013153076171875j),(-0.086669921875+0.01318359375j),(-0.086669921875+0.01318359375j)
44,(-0.074462890625-0.0045166015625j),(-0.074462890625-0.0045166015625j),(-0.074493408203125-0.0045166015625j),(-0.074462890625-0.0045166015625j),(-0.074462890625-0.0045166015625j),(-0.074462890625-0.0045166015625j)
45,(-0.05584716796875+0.0167236328125j),(-0.055816650390625+0.016693115234375j),(-0.05584716796875+0.016693115234375j),(-0.05584716796875+0.016693115234375j),(-0.05584716796875+0.0167236328125j),(-0.0557861328125+0.0166015625j)
46,(-0.049041748046875-0.02838134765625j),(-0.049041748046875-0.02838134765625j),(-0.04901123046875-0.02838134765625j),(-0.049072265625-0.028350830078125j),(-0.04901123046875-0.02838134765625j),(-0.0489501953125-0.0283203125j)
47,(0.0859375+0.000823974609375j),(0.0859375+0.000823974609375j),(0.085906982421875+0.000823974609375j),(0.085906982421875+0.0008544921875j),(0.08587646484375+0.0008544921875j),(0.0859375+0.000732421875j)
48,(-0.01104736328125-0.051422119140625j),(-0.011016845703125-0.051422119140625j),(-0.01104736328125-0.05145263671875j),(-0.01104736328125-0.051422119140625j),(-0.01104736328125-0.0513916015625j),(-0.010986328125-0.0513916015625j)
49,(-0.041839599609375+0.016204833984375j),(-0.041839599609375+0.016204833984375j),(-0.041839599609375+0.01617431640625j),(-0.041839599609375+0.01617431640625j),(-0.0418701171875+0.01611328125j),(-0.041748046875+0.01611328125j)
50,(-0.035003662109375-0.0499267578125j),(-0.035003662109375-0.049896240234375j),(-0.035003662109375-0.049896240234375j),(-0.0350341796875-0.049896240234375j),(-0.03497314453125-0.04986572265625j),(-0.034912109375-0.0499267578125j)
51,(-0.063720703125+0.045806884765625j),(-0.063720703125+0.045806884765625j),(-0.063751220703125+0.04583740234375j),(-0.063751220703125+0.045806884765625j),(-0.063720703125+0.0457763671875j),(-0.063720703125+0.0457763671875j)
52,(-0.013336181640625+0.0196533203125j),(-0.013336181640625+0.0196533203125j),(-0.013336181640625+0.019683837890625j),(-0.013336181640625+0.0196533203125j),(-0.0133056640625+0.0196533203125j),(-0.0133056640625+0.0196533203125j)
