,0,1,2,3,4,5
0,(-0.128936767578125+0j),(-0.128936767578125+0j),(-0.128936767578125+0j),(-0.128936767578125+0j),(-0.128936767578125+0j),(-0.12896728515625+0j)
1,(0.001922607421875-0.041748046875j),(0.001922607421875-0.041748046875j),(0.001922607421875-0.041748046875j),(0.001922607421875-0.041748046875j),(0.001922607421875-0.041778564453125j),(0.001953125-0.041748046875j)
2,(0.02569580078125+0.005401611328125j),(0.02569580078125+0.005401611328125j),(0.025665283203125+0.00537109375j),(0.02569580078125+0.005401611328125j),(0.025665283203125+0.00537109375j),(0.02569580078125+0.00543212890625j)
3,(0.050537109375+0.036834716796875j),(0.050537109375+0.036865234375j),(0.050537109375+0.036834716796875j),(0.050506591796875+0.036865234375j),(0.050537109375+0.036834716796875j),(0.050537109375+0.036865234375j)
4,(-0.02337646484375-0.011810302734375j),(-0.02337646484375-0.01177978515625j),(-0.02337646484375-0.01177978515625j),(-0.02337646484375-0.01177978515625j),(-0.023345947265625-0.01177978515625j),(-0.02337646484375-0.01177978515625j)
5,(-0.04315185546875+0.042266845703125j),(-0.04315185546875+0.042266845703125j),(-0.04315185546875+0.042266845703125j),(-0.04315185546875+0.042266845703125j),(-0.04315185546875+0.042266845703125j),(-0.04315185546875+0.04229736328125j)
6,(0.034912109375-0.06610107421875j),(0.034912109375-0.06610107421875j),(0.034881591796875-0.06610107421875j),(0.034912109375-0.066131591796875j),(0.034912109375-0.06610107421875j),(0.034912109375-0.06610107421875j)
7,(0.069793701171875+0.0113525390625j),(0.069793701171875+0.0113525390625j),(0.069793701171875+0.011383056640625j),(0.06976318359375+0.011383056640625j),(0.069793701171875+0.011383056640625j),(0.06982421875+0.01141357421875j)
8,(-0.031402587890625+0.01715087890625j),(-0.031402587890625+0.01715087890625j),(-0.031402587890625+0.01715087890625j),(-0.031402587890625+0.01715087890625j),(-0.031402587890625+0.01715087890625j),(-0.03143310546875+0.01715087890625j)
9,(0.05548095703125+0.15008544921875j),(0.05548095703125+0.15008544921875j),(0.055450439453125+0.15008544921875j),(0.05548095703125+0.15008544921875j),(0.05548095703125+0.150115966796875j),(0.05548095703125+0.15008544921875j)
10,(0.02386474609375-0.028472900390625j),(0.02386474609375-0.0284423828125j),(0.02386474609375-0.028472900390625j),(0.02386474609375-0.0284423828125j),(0.02386474609375-0.0284423828125j),(0.02386474609375-0.02850341796875j)
11,(0.001739501953125-0.012847900390625j),(0.001708984375-0.012847900390625j),(0.001739501953125-0.01287841796875j),(0.001708984375-0.01287841796875j),(0.001739501953125-0.012847900390625j),(0.00177001953125-0.01287841796875j)
12,(-0.011932373046875+0.0462646484375j),(-0.011932373046875+0.0462646484375j),(-0.011932373046875+0.046295166015625j),(-0.01190185546875+0.046295166015625j),(-0.011932373046875+0.046295166015625j),(-0.011962890625+0.04632568359375j)
13,(-0.056488037109375+0.00787353515625j),(-0.056488037109375+0.007904052734375j),(-0.05645751953125+0.007904052734375j),(-0.056488037109375+0.007904052734375j),(-0.056488037109375+0.007904052734375j),(-0.0565185546875+0.0079345703125j)
14,(0.072174072265625+0.004486083984375j),(0.072174072265625+0.004486083984375j),(0.072174072265625+0.0045166015625j),(0.072174072265625+0.004486083984375j),(0.072174072265625+0.004486083984375j),(0.07220458984375+0.0045166015625j)
15,(0.04052734375+0.010650634765625j),(0.04052734375+0.010650634765625j),(0.04052734375+0.010650634765625j),(0.04052734375+0.0106201171875j),(0.040496826171875+0.0106201171875j),(0.04052734375+0.01068115234375j)
16,(-0.045166015625+0.11578369140625j),(-0.045166015625+0.11578369140625j),(-0.045166015625+0.11578369140625j),(-0.045166015625+0.11578369140625j),(-0.045166015625+0.11578369140625j),(-0.045166015625+0.11578369140625j)
17,(-0.056976318359375-0.01715087890625j),(-0.056976318359375-0.01715087890625j),(-0.056976318359375-0.01715087890625j),(-0.056976318359375-0.017181396484375j),(-0.0570068359375-0.01715087890625j),(-0.0570068359375-0.01715087890625j)
18,(-0.033111572265625-0.01849365234375j),(-0.033111572265625-0.01849365234375j),(-0.033111572265625-0.018524169921875j),(-0.033111572265625-0.01849365234375j),(-0.0330810546875-0.018524169921875j),(-0.03314208984375-0.01849365234375j)
19,(-0.024322509765625+0.05499267578125j),(-0.024322509765625+0.05499267578125j),(-0.024322509765625+0.05499267578125j),(-0.024322509765625+0.05499267578125j),(-0.024322509765625+0.05499267578125j),(-0.02435302734375+0.05499267578125j)
20,(0.075225830078125+0.036956787109375j),(0.0751953125+0.036956787109375j),(0.075225830078125+0.03692626953125j),(0.0751953125+0.036956787109375j),(0.0751953125+0.036956787109375j),(0.0751953125+0.0369873046875j)
21,(0.0057373046875+0.1357421875j),(0.0057373046875+0.1357421875j),(0.0057373046875+0.1357421875j),(0.005706787109375+0.1357421875j),(0.0057373046875+0.135772705078125j),(0.0057373046875+0.1357421875j)
22,(0.05633544921875-0.040985107421875j),(0.05633544921875-0.040985107421875j),(0.05633544921875-0.040985107421875j),(0.05633544921875-0.040985107421875j),(0.05633544921875-0.041015625j),(0.05633544921875-0.041015625j)
23,(0.0814208984375+0.052581787109375j),(0.0814208984375+0.052581787109375j),(0.0814208984375+0.052581787109375j),(0.0814208984375+0.052581787109375j),(0.0814208984375+0.05255126953125j),(0.0814208984375+0.0526123046875j)
24,(-0.063079833984375-0.0546875j),(-0.063079833984375-0.0546875j),(-0.06304931640625-0.054656982421875j),(-0.063079833984375-0.0546875j),(-0.063079833984375-0.0546875j),(-0.0631103515625-0.0546875j)
25,(-0.003997802734375-0.080108642578125j),(-0.003997802734375-0.080108642578125j),(-0.003997802734375-0.080108642578125j),(-0.003997802734375-0.080108642578125j),(-0.003997802734375-0.080108642578125j),(-0.0040283203125-0.08013916015625j)
26,(-0.0753173828125-0.03466796875j),(-0.0753173828125-0.03466796875j),(-0.0753173828125-0.03466796875j),(-0.0753173828125-0.03466796875j),(-0.0753173828125-0.03466796875j),(-0.0753173828125-0.03466796875j)
27,(-0.036346435546875+0.02484130859375j),(-0.03631591796875+0.02484130859375j),(-0.036346435546875+0.02484130859375j),(-0.03631591796875+0.02484130859375j),(-0.03631591796875+0.024810791015625j),(-0.03631591796875+0.02484130859375j)
28,(-0.0291748046875-0.122161865234375j),(-0.029205322265625-0.122161865234375j),(-0.0291748046875-0.1221923828125j),(-0.0291748046875-0.1221923828125j),(-0.0291748046875-0.1221923828125j),(-0.0291748046875-0.1221923828125j)
29,(-0.00244140625-0.053253173828125j),(-0.00244140625-0.053253173828125j),(-0.00244140625-0.05322265625j),(-0.00244140625-0.05322265625j),(-0.00244140625-0.053253173828125j),(-0.00244140625-0.05328369140625j)
