,0,1,2,3,4,5
0,(-0.059814453125+0j),(-0.059814453125+0j),(-0.059844970703125+0j),(-0.059844970703125+0j),(-0.059844970703125+0j),(-0.059814453125+0j)
1,(0.058868408203125-0.04010009765625j),(0.058868408203125-0.04010009765625j),(0.058868408203125-0.04010009765625j),(0.058868408203125-0.04010009765625j),(0.05889892578125-0.04010009765625j),(0.05889892578125-0.04010009765625j)
2,(-0.0164794921875-0.012664794921875j),(-0.0164794921875-0.012664794921875j),(-0.0164794921875-0.012664794921875j),(-0.0164794921875-0.012664794921875j),(-0.0164794921875-0.01263427734375j),(-0.0164794921875-0.0126953125j)
3,(0.009674072265625-0.076019287109375j),(0.009674072265625-0.076019287109375j),(0.00970458984375-0.0760498046875j),(0.009674072265625-0.0760498046875j),(0.009674072265625-0.0760498046875j),(0.00970458984375-0.0760498046875j)
4,(-0.13629150390625+0.044525146484375j),(-0.13629150390625+0.0445556640625j),(-0.13629150390625+0.044525146484375j),(-0.13629150390625+0.0445556640625j),(-0.13629150390625+0.0445556640625j),(-0.13629150390625+0.0445556640625j)
5,(0.01470947265625-0.020721435546875j),(0.01470947265625-0.020721435546875j),(0.01470947265625-0.02069091796875j),(0.01470947265625-0.02069091796875j),(0.01470947265625-0.02069091796875j),(0.01470947265625-0.02069091796875j)
6,(0.05328369140625+0.080841064453125j),(0.05328369140625+0.080841064453125j),(0.05328369140625+0.08087158203125j),(0.05328369140625+0.08087158203125j),(0.05328369140625+0.08087158203125j),(0.05328369140625+0.08087158203125j)
7,(-0.1368408203125-0.005126953125j),(-0.1368408203125-0.005126953125j),(-0.1368408203125-0.005126953125j),(-0.136871337890625-0.005096435546875j),(-0.136871337890625-0.005096435546875j),(-0.1368408203125-0.005126953125j)
8,(0.0653076171875+0.01739501953125j),(0.0653076171875+0.01739501953125j),(0.0653076171875+0.01739501953125j),(0.0653076171875+0.01739501953125j),(0.0653076171875+0.01739501953125j),(0.0653076171875+0.01739501953125j)
9,(0.07159423828125-0.018646240234375j),(0.07159423828125-0.018646240234375j),(0.07159423828125-0.018646240234375j),(0.07159423828125-0.018646240234375j),(0.07159423828125-0.018646240234375j),(0.07159423828125-0.0186767578125j)
10,(-0.007354736328125+0.1005859375j),(-0.007354736328125+0.100555419921875j),(-0.007354736328125+0.100555419921875j),(-0.007354736328125+0.1005859375j),(-0.007354736328125+0.100555419921875j),(-0.00738525390625+0.1005859375j)
11,(0.031524658203125+0.007415771484375j),(0.031524658203125+0.0074462890625j),(0.03155517578125+0.0074462890625j),(0.03155517578125+0.0074462890625j),(0.03155517578125+0.007415771484375j),(0.03155517578125+0.0074462890625j)
12,(0.067535400390625+0.0447998046875j),(0.067535400390625+0.0447998046875j),(0.067535400390625+0.0447998046875j),(0.067535400390625+0.0447998046875j),(0.067535400390625+0.044830322265625j),(0.06756591796875+0.0447998046875j)
13,(0.03857421875+0.025146484375j),(0.03857421875+0.025177001953125j),(0.03857421875+0.025146484375j),(0.03857421875+0.025146484375j),(0.03857421875+0.025146484375j),(0.03857421875+0.025146484375j)
14,(-0.04217529296875+0.070404052734375j),(-0.04217529296875+0.0704345703125j),(-0.042205810546875+0.0704345703125j),(-0.04217529296875+0.0704345703125j),(-0.04217529296875+0.0704345703125j),(-0.04217529296875+0.0704345703125j)
15,(-0.0606689453125-0.02313232421875j),(-0.060699462890625-0.023101806640625j),(-0.060699462890625-0.023101806640625j),(-0.060699462890625-0.023101806640625j),(-0.060699462890625-0.023101806640625j),(-0.06072998046875-0.02313232421875j)
16,(-0.010345458984375-0.01220703125j),(-0.010345458984375-0.01220703125j),(-0.010345458984375-0.01220703125j),(-0.010345458984375-0.01220703125j),(-0.010345458984375-0.01220703125j),(-0.0103759765625-0.01220703125j)
17,(-0.032379150390625-0.036346435546875j),(-0.032379150390625-0.036346435546875j),(-0.032379150390625-0.036346435546875j),(-0.032379150390625-0.03631591796875j),(-0.032379150390625-0.036346435546875j),(-0.03240966796875-0.036376953125j)
18,(0.063934326171875+0.0267333984375j),(0.063934326171875+0.026763916015625j),(0.063934326171875+0.026763916015625j),(0.063934326171875+0.026763916015625j),(0.063934326171875+0.0267333984375j),(0.06396484375+0.02679443359375j)
19,(0.0772705078125+0.017547607421875j),(0.0772705078125+0.017547607421875j),(0.0772705078125+0.01751708984375j),(0.0772705078125+0.017547607421875j),(0.0772705078125+0.01751708984375j),(0.0772705078125+0.01751708984375j)
20,(-0.0364990234375+0.040557861328125j),(-0.0364990234375+0.040557861328125j),(-0.0364990234375+0.040557861328125j),(-0.036529541015625+0.040557861328125j),(-0.0364990234375+0.040557861328125j),(-0.0364990234375+0.04058837890625j)
21,(0.07867431640625-0.0162353515625j),(0.07867431640625-0.016204833984375j),(0.07867431640625-0.0162353515625j),(0.07867431640625-0.0162353515625j),(0.07867431640625-0.0162353515625j),(0.07867431640625-0.0162353515625j)
22,(0.009185791015625+0.040069580078125j),(0.009185791015625+0.040069580078125j),(0.009185791015625+0.040069580078125j),(0.009185791015625+0.04010009765625j),(0.009185791015625+0.040069580078125j),(0.00921630859375+0.04010009765625j)
23,(0.05987548828125+0.048492431640625j),(0.059906005859375+0.048492431640625j),(0.059906005859375+0.048492431640625j),(0.059906005859375+0.0484619140625j),(0.05987548828125+0.0484619140625j),(0.0599365234375+0.0484619140625j)
24,(-0.0113525390625-0.00531005859375j),(-0.0113525390625-0.005340576171875j),(-0.0113525390625-0.00531005859375j),(-0.0113525390625-0.00531005859375j),(-0.0113525390625-0.00531005859375j),(-0.0113525390625-0.00531005859375j)
25,(-0.005584716796875+0.0262451171875j),(-0.005584716796875+0.0262451171875j),(-0.005584716796875+0.0262451171875j),(-0.005584716796875+0.0262451171875j),(-0.005584716796875+0.0262451171875j),(-0.005615234375+0.0262451171875j)
26,(-0.0069580078125-0.04248046875j),(-0.0069580078125-0.04248046875j),(-0.0069580078125-0.04248046875j),(-0.0069580078125-0.04248046875j),(-0.0069580078125-0.04248046875j),(-0.0069580078125-0.04248046875j)
27,(0.006927490234375+0.0091552734375j),(0.006927490234375+0.0091552734375j),(0.006927490234375+0.0091552734375j),(0.006927490234375+0.0091552734375j),(0.00689697265625+0.009124755859375j),(0.0069580078125+0.0091552734375j)
28,(0.06976318359375-0.004608154296875j),(0.06976318359375-0.004608154296875j),(0.06976318359375-0.004608154296875j),(0.069793701171875-0.004608154296875j),(0.06976318359375-0.00457763671875j),(0.06976318359375-0.004638671875j)
29,(-0.015167236328125-0.002410888671875j),(-0.015167236328125-0.00238037109375j),(-0.015167236328125-0.002410888671875j),(-0.015167236328125-0.002410888671875j),(-0.015167236328125-0.002410888671875j),(-0.01519775390625-0.00244140625j)
30,(0.0135498046875-0.04248046875j),(0.013580322265625-0.04248046875j),(0.013580322265625-0.04248046875j),(0.013580322265625-0.042449951171875j),(0.0135498046875-0.04248046875j),(0.0135498046875-0.04248046875j)
31,(-0.040924072265625-0.0634765625j),(-0.0408935546875-0.063446044921875j),(-0.040924072265625-0.0634765625j),(-0.0408935546875-0.0634765625j),(-0.040863037109375-0.0634765625j),(-0.0408935546875-0.0634765625j)
32,(-0.034027099609375+0j),(-0.034027099609375+0j),(-0.0340576171875+0j),(-0.034027099609375+0j),(-0.034027099609375+0j),(-0.0340576171875+0j)
33,(-0.040924072265625+0.0634765625j),(-0.0408935546875+0.0634765625j),(-0.0408935546875+0.063446044921875j),(-0.0408935546875+0.0634765625j),(-0.0408935546875+0.0634765625j),(-0.0408935546875+0.0634765625j)
34,(0.0135498046875+0.04248046875j),(0.0135498046875+0.04248046875j),(0.0135498046875+0.04248046875j),(0.0135498046875+0.04248046875j),(0.0135498046875+0.04248046875j),(0.0135498046875+0.04248046875j)
35,(-0.015167236328125+0.002410888671875j),(-0.015167236328125+0.00238037109375j),(-0.01519775390625+0.002410888671875j),(-0.015167236328125+0.002410888671875j),(-0.015167236328125+0.00238037109375j),(-0.01519775390625+0.00238037109375j)
36,(0.06976318359375+0.004608154296875j),(0.06976318359375+0.004608154296875j),(0.06976318359375+0.004608154296875j),(0.06976318359375+0.004608154296875j),(0.06976318359375+0.00457763671875j),(0.06976318359375+0.004638671875j)
37,(0.006927490234375-0.0091552734375j),(0.006927490234375-0.0091552734375j),(0.006927490234375-0.0091552734375j),(0.006927490234375-0.0091552734375j),(0.00689697265625-0.0091552734375j),(0.0069580078125-0.0091552734375j)
38,(-0.0069580078125+0.04248046875j),(-0.0069580078125+0.04248046875j),(-0.0069580078125+0.042510986328125j),(-0.0069580078125+0.04248046875j),(-0.0069580078125+0.04248046875j),(-0.0069580078125+0.04248046875j)
39,(-0.005584716796875-0.026275634765625j),(-0.005584716796875-0.026275634765625j),(-0.005584716796875-0.0262451171875j),(-0.005615234375-0.0262451171875j),(-0.005584716796875-0.026275634765625j),(-0.005615234375-0.0262451171875j)
40,(-0.0113525390625+0.00531005859375j),(-0.0113525390625+0.005340576171875j),(-0.0113525390625+0.00531005859375j),(-0.0113525390625+0.00531005859375j),(-0.0113525390625+0.00531005859375j),(-0.0113525390625+0.00531005859375j)
41,(0.059906005859375-0.0484619140625j),(0.059906005859375-0.0484619140625j),(0.059906005859375-0.0484619140625j),(0.059906005859375-0.0484619140625j),(0.05987548828125-0.048492431640625j),(0.0599365234375-0.0484619140625j)
