,0,1,2,3,4,5,6
0,(-0.05084228515625+0j),(-0.390350341796875+0j),(-0.177581787109375+0j),(-0.2099609375+0j),(-0.1949462890625+0j),(-0.158416748046875+0j),(-0.065948486328125+0j)
1,(0.31494140625+0j),(-0.02996826171875+0j),(0.226226806640625+0j),(0.22479248046875+0j),(0.0804443359375+0j),(0.026519775390625+0j),(0.018585205078125+0.025848388671875j)
2,(0.332794189453125+0j),(0.287841796875+0j),(-0.140594482421875+0j),(0.048004150390625+0j),(-0.12188720703125+0j),(-0.036529541015625+0j),(-0.038787841796875+0.00811767578125j)
3,(-0.71478271484375+0j),(-0.69384765625+0j),(-0.321868896484375+0j),(-0.2286376953125+0j),(-0.02740478515625+0j),-0.053924560546875j,(0.0032958984375-0.05419921875j)
4,(-0.978271484375+0j),(-0.29229736328125+0j),(-0.132568359375+0j),(-0.179962158203125+0j),(-0.014984130859375+0j),(-0.007476806640625-0.084930419921875j),(0.01959228515625+0.054534912109375j)
5,(-0.25048828125+0j),(-0.573883056640625+0j),(-0.24774169921875+0j),(-0.06390380859375+0j),(0.102081298828125-0.102081298828125j),(0.1221923828125+0.020111083984375j),(0.013519287109375+0.04815673828125j)
6,(-0.451873779296875+0j),(-0.554718017578125+0j),(-0.299224853515625+0j),(-0.291778564453125+0j),-0.169891357421875j,(-0.007476806640625+0.0849609375j),(-0.035858154296875+0.076904296875j)
7,(0.62066650390625+0j),(0.62603759765625+0j),(-0.0601806640625+0j),(0.173828125+0j),(0.142303466796875+0.142303466796875j),(-0.1221923828125+0.020111083984375j),(0.0618896484375-0.031341552734375j)
8,(0.38116455078125+0j),(0.09112548828125+0j),(-0.24237060546875+0j),(0.03240966796875+0j),(0.016204833984375-0.023712158203125j),(-0.023895263671875+0.0228271484375j),(0.057373046875-0.03240966796875j)
9,(0.202911376953125+0j),(0.02032470703125+0j),(0.223358154296875+0j),(0.001312255859375-0.00054931640625j),(0.03582763671875+0.08465576171875j),(0.06304931640625+0.08624267578125j),(0.060516357421875+0.01092529296875j)
10,(0.116363525390625+0j),(0.154144287109375+0j),(0.236602783203125+0j),(-0.13336181640625+0.13336181640625j),(-0.06402587890625+0.0693359375j),(0.040130615234375-0.0465087890625j),(-0.036224365234375-0.099853515625j)
11,(0.3226318359375+0j),(0.138092041015625+0j),(-0.13543701171875+0j),(-0.035675048828125+0.086090087890625j),(0.09027099609375+0.08782958984375j),(-0.0015869140625+0.0272216796875j),(0.065673828125-0.013214111328125j)
12,(-0.709381103515625+0j),(-0.4700927734375+0j),(-0.227386474609375+0j),-0.04742431640625j,(0.016204833984375+0.023712158203125j),(0.040130615234375+0.0465087890625j),(0.0208740234375+0.036865234375j)
13,(-0.119873046875+0j),(-0.5294189453125+0j),(0.11993408203125+0j),(0.070343017578125+0.169830322265625j),(-0.084625244140625-0.035797119140625j),(0.0015869140625+0.0272216796875j),(-0.020111083984375+0.035552978515625j)
14,(-0.675445556640625+0j),(-0.11138916015625+0j),(-0.284332275390625+0j),(0.005279541015625+0.005279541015625j),(0.064056396484375+0.069305419921875j),(-0.02392578125-0.022796630859375j),(-0.124298095703125-0.049957275390625j)
15,(0.811920166015625+0j),(0.8734130859375+0j),(0.4078369140625+0j),(0.2161865234375+0.08953857421875j),(0.087799072265625+0.090240478515625j),(-0.063018798828125+0.086212158203125j),(-0.0009765625-0.029296875j)
16,(-0.88232421875+0j),(0.03515625+0j),(-0.212738037109375+0j),(-0.106353759765625-0.166748046875j),(-0.038482666015625-0.012237548828125j),(0.00201416015625+0.004150390625j),(-0.01824951171875-0.026947021484375j)
17,(0.63763427734375+0j),(0.482421875+0j),(-0.25128173828125+0.04998779296875j),(-0.1058349609375+0.124542236328125j),(0.036773681640625+0.220245361328125j),(-0.07958984375+0.012054443359375j),(-0.0570068359375+0.03009033203125j)
18,(-0.85076904296875+0j),(-0.56903076171875+0j),(0.39581298828125-0.1639404296875j),(0.21368408203125-0.04388427734375j),(0.04248046875+0.0205078125j),(-0.04046630859375-0.016357421875j),(0.083892822265625-0.066375732421875j)
19,(0.373870849609375+0j),(0.050079345703125+0j),(-0.309234619140625+0.206634521484375j),(-0.2305908203125-0.010406494140625j),(-0.19598388671875-0.1961669921875j),(0.208221435546875-0.11639404296875j),(-0.10137939453125-0.020416259765625j)
20,(-0.32598876953125+0j),(0.027130126953125+0j),(-0.1129150390625+0.1129150390625j),(0.02935791015625+0.14227294921875j),(-0.067840576171875-0.154510498046875j),(-0.06610107421875-0.162872314453125j),(0.019287109375-0.0096435546875j)
21,(-0.190765380859375+0j),(0.078399658203125+0j),(-0.181182861328125+0.271148681640625j),(0.179351806640625+0.315948486328125j),(-0.168487548828125+0.033172607421875j),(-0.00634765625-0.036865234375j),(0.011505126953125-0.07464599609375j)
22,(0.684783935546875+0j),(-0.04376220703125+0j),(-0.097747802734375+0.235992431640625j),(-0.128753662109375+0.08489990234375j),(-0.06439208984375-0.171234130859375j),(-0.001708984375+0.00836181640625j),(-0.029876708984375+0.063018798828125j)
23,(-0.9627685546875+0j),(-0.74639892578125+0j),(0.13385009765625-0.67303466796875j),(-0.161407470703125-0.381927490234375j),(0.155792236328125-0.106903076171875j),(0.070037841796875+0.162139892578125j),(0.111297607421875+0.00860595703125j)
