,0
0,0.0035562515258789062
1,0.1054382922652353
2,0.0593749582531063
3,0.010237117386283549
4,0.08027135830338603
5,0.025577941560997644
6,0.07998572643182628
7,0.03563321153538403
8,0.07045088657916336
9,0.09208091905458038
10,0.0571868517196462
11,0.087519636190737
12,0.017396701494368356
13,0.053834424477390314
14,0.04695790334127162
15,0.06848178783741292
16,0.06092084278581242
17,0.04134045700720051
18,0.02059297169782043
19,0.03531948759639453
20,0.09362383214876577
21,0.0477505572857697
22,0.0715105477660245
23,0.074030501618463
24,0.07703282484369121
25,0.09947251310287658
26,0.04258342373624689
27,0.07901906087928205
28,0.018320295744676755
29,0.14365188840005508
30,0.09275962384989374
31,0.0637514310802836
32,0.033145904541015625
33,0.0637514310802836
34,0.09275962384989374
35,0.14365188840005508
36,0.018320295744676755
37,0.07901906087928205
38,0.04258342373624689
39,0.09947251310287658
40,0.07703282484369121
41,0.074030501618463
42,0.0715105477660245
43,0.0477505572857697
44,0.09362383214876577
45,0.03531948759639453
46,0.02059297169782043
47,0.04134045700720051
48,0.06092084278581242
49,0.06848178783741292
50,0.04695790334127162
51,0.053834424477390314
52,0.017396701494368356
53,0.087519636190737
54,0.0571868517196462
55,0.09208091905458038
56,0.07045088657916336
57,0.03563321153538403
58,0.07998572643182628
59,0.025577941560997644
60,0.08027135830338603
61,0.010237117386283549
62,0.0593749582531063
63,0.1054382922652353
