,0,1,2
0,"[16, 16, 16, 16, 16, 16]","[10, 16, 16, 16, 16, 16]",49.862019046580826
1,"[15, 16, 16, 16, 16, 16]","[10, 15, 16, 16, 16, 16]",49.83479245613029
2,"[14, 16, 16, 16, 16, 16]","[10, 14, 16, 16, 16, 16]",49.805153466645436
3,"[13, 16, 16, 16, 16, 16]","[10, 13, 16, 16, 16, 16]",49.58195874729239
4,"[12, 16, 16, 16, 16, 16]","[10, 12, 16, 16, 16, 16]",49.23900843637175
5,"[11, 16, 16, 16, 16, 16]","[10, 11, 16, 16, 16, 16]",48.187206923681316
6,"[10, 16, 16, 16, 16, 16]","[10, 10, 16, 16, 16, 16]",44.95434576142819
7,"[11, 16, 16, 16, 16, 16]","[10, 11, 16, 16, 16, 16]",48.187206923681316
8,"[11, 15, 16, 16, 16, 16]","[10, 11, 15, 16, 16, 16]",48.1574776311317
9,"[11, 14, 16, 16, 16, 16]","[10, 11, 14, 16, 16, 16]",48.12415813432474
10,"[11, 13, 16, 16, 16, 16]","[10, 11, 13, 16, 16, 16]",48.009942657321766
11,"[11, 12, 16, 16, 16, 16]","[10, 11, 12, 16, 16, 16]",47.626839837837736
12,"[11, 11, 16, 16, 16, 16]","[10, 11, 11, 16, 16, 16]",45.86125937104575
13,"[11, 10, 16, 16, 16, 16]","[10, 11, 10, 16, 16, 16]",42.99419412661746
14,"[11, 11, 16, 16, 16, 16]","[10, 11, 11, 16, 16, 16]",45.86125937104575
15,"[11, 11, 15, 16, 16, 16]","[10, 11, 11, 15, 16, 16]",45.84378932871346
16,"[11, 11, 14, 16, 16, 16]","[10, 11, 11, 14, 16, 16]",45.81338531484812
17,"[11, 11, 13, 16, 16, 16]","[10, 11, 11, 13, 16, 16]",45.73123670437795
18,"[11, 11, 12, 16, 16, 16]","[10, 11, 11, 12, 16, 16]",45.45720481196685
19,"[11, 11, 11, 16, 16, 16]","[10, 11, 11, 11, 16, 16]",43.419626943209195
20,"[11, 11, 12, 16, 16, 16]","[10, 11, 11, 12, 16, 16]",45.45720481196685
21,"[11, 11, 12, 15, 15, 16]","[10, 11, 11, 12, 15, 15]",45.41840419549791
22,"[11, 11, 12, 14, 14, 16]","[10, 11, 11, 12, 14, 14]",45.313407772350494
23,"[11, 11, 12, 13, 13, 16]","[10, 11, 11, 12, 13, 13]",44.75375687063929
