,0,1,2,3,4,5
0,(0.0008544921875+0j),(0.0008544921875+0j),(0.000823974609375+0j),(0.0008544921875+0j),(0.0008544921875+0j),(0.000732421875+0j)
1,(-0.03631591796875-0.0076904296875j),(-0.03631591796875-0.0076904296875j),(-0.03631591796875-0.0076904296875j),(-0.03631591796875-0.0076904296875j),(-0.0362548828125-0.0076904296875j),(-0.036376953125-0.007568359375j)
2,(0.017242431640625+0.0185546875j),(0.017242431640625+0.018524169921875j),(0.017242431640625+0.0185546875j),(0.01727294921875+0.01861572265625j),(0.0172119140625+0.0185546875j),(0.017333984375+0.0185546875j)
3,(-0.01519775390625-0.041534423828125j),(-0.01519775390625-0.04156494140625j),(-0.01519775390625-0.04156494140625j),(-0.0152587890625-0.04156494140625j),(-0.01513671875-0.0416259765625j),(-0.01513671875-0.04150390625j)
4,(0.031280517578125+0.0159912109375j),(0.03125+0.0159912109375j),(0.03131103515625+0.016021728515625j),(0.03125+0.01611328125j),(0.03125+0.01611328125j),(0.03125+0.01611328125j)
5,(-0.08306884765625-0.024261474609375j),(-0.083038330078125-0.02423095703125j),(-0.083038330078125-0.024261474609375j),(-0.0831298828125-0.02423095703125j),(-0.0831298828125-0.024169921875j),(-0.0830078125-0.024169921875j)
6,(-0.023406982421875+0.03057861328125j),(-0.0234375+0.030548095703125j),(-0.0234375+0.03057861328125j),(-0.02337646484375+0.03057861328125j),(-0.0233154296875+0.0306396484375j),(-0.0234375+0.030517578125j)
7,(0.0020751953125+0.004150390625j),(0.0020751953125+0.004150390625j),(0.0020751953125+0.004150390625j),(0.0020751953125+0.00408935546875j),(0.0020751953125+0.004150390625j),(0.002197265625+0.004150390625j)
8,(0.011444091796875-0.03167724609375j),(0.011444091796875-0.03167724609375j),(0.01141357421875-0.03167724609375j),(0.01141357421875-0.03167724609375j),(0.0113525390625-0.0316162109375j),(0.011474609375-0.03173828125j)
9,(-0.128265380859375+0.019561767578125j),(-0.128265380859375+0.01953125j),(-0.128265380859375+0.01953125j),(-0.1282958984375+0.01959228515625j),(-0.1282958984375+0.0196533203125j),(-0.128173828125+0.01953125j)
10,(-0.02386474609375-0.021484375j),(-0.02392578125-0.021514892578125j),(-0.02392578125-0.021484375j),(-0.02386474609375-0.021484375j),(-0.02392578125-0.021484375j),(-0.02392578125-0.021484375j)
11,(0.02191162109375-0.0916748046875j),(0.021942138671875-0.091644287109375j),(0.02197265625-0.091644287109375j),(0.02197265625-0.09161376953125j),(0.02197265625-0.0916748046875j),(0.02197265625-0.091552734375j)
12,(-0.019256591796875-0.099090576171875j),(-0.019256591796875-0.09912109375j),(-0.01922607421875-0.099090576171875j),(-0.01922607421875-0.09912109375j),(-0.019287109375-0.09912109375j),(-0.019287109375-0.09912109375j)
13,(-0.0479736328125+0.010223388671875j),(-0.0479736328125+0.010223388671875j),(-0.047943115234375+0.01019287109375j),(-0.0479736328125+0.01019287109375j),(-0.0479736328125+0.01025390625j),(-0.0478515625+0.01025390625j)
14,(-0.058074951171875+0.00396728515625j),(-0.05804443359375+0.003997802734375j),(-0.05804443359375+0.0040283203125j),(-0.05804443359375+0.00396728515625j),(-0.0579833984375+0.00390625j),(-0.05810546875+0.00390625j)
15,(0.10150146484375+0.0087890625j),(0.1014404296875+0.0087890625j),(0.1014404296875+0.008758544921875j),(0.1014404296875+0.00885009765625j),(0.1014404296875+0.0087890625j),(0.1015625+0.0087890625j)
16,(-0.0380859375-0.037445068359375j),(-0.038055419921875-0.037445068359375j),(-0.0380859375-0.037445068359375j),(-0.03802490234375-0.03741455078125j),(-0.0380859375-0.0374755859375j),(-0.0380859375-0.037353515625j)
17,(0.0306396484375-0.00653076171875j),(0.0306396484375-0.00653076171875j),(0.0306396484375-0.00653076171875j),(0.0306396484375-0.00653076171875j),(0.0306396484375-0.006591796875j),(0.03076171875-0.006591796875j)
18,(0.024993896484375-0.076416015625j),(0.024993896484375-0.076385498046875j),(0.024993896484375-0.076416015625j),(0.02496337890625-0.07647705078125j),(0.0250244140625-0.076416015625j),(0.02490234375-0.076416015625j)
19,(0.03021240234375+0.01312255859375j),(0.030242919921875+0.01312255859375j),(0.03021240234375+0.01318359375j),(0.0302734375+0.01312255859375j),(0.0301513671875+0.0130615234375j),(0.0302734375+0.01318359375j)
20,(0.0419921875+0.030975341796875j),(0.041961669921875+0.030975341796875j),(0.042022705078125+0.03094482421875j),(0.0419921875+0.031005859375j),(0.0419921875+0.031005859375j),(0.0419921875+0.031005859375j)
21,(0.024871826171875+0.003753662109375j),(0.024871826171875+0.003753662109375j),(0.02490234375+0.0037841796875j),(0.02490234375+0.00372314453125j),(0.02490234375+0.0037841796875j),(0.02490234375+0.003662109375j)
22,(-0.09002685546875+0.076904296875j),(-0.09002685546875+0.076934814453125j),(-0.089996337890625+0.076934814453125j),(-0.0899658203125+0.076904296875j),(-0.090087890625+0.076904296875j),(-0.090087890625+0.076904296875j)
23,(-0.009429931640625+0.066070556640625j),(-0.009429931640625+0.06610107421875j),(-0.00946044921875+0.06610107421875j),(-0.0093994140625+0.06610107421875j),(-0.0093994140625+0.0660400390625j),(-0.009521484375+0.066162109375j)
24,(-0.014739990234375-0.00274658203125j),(-0.0147705078125-0.00274658203125j),(-0.0147705078125-0.002685546875j),(-0.01470947265625-0.00274658203125j),(-0.0147705078125-0.0028076171875j),(-0.0146484375-0.002685546875j)
25,(0.105804443359375+0.026153564453125j),(0.105804443359375+0.026123046875j),(0.105743408203125+0.026153564453125j),(0.1058349609375+0.02618408203125j),(0.1058349609375+0.026123046875j),(0.105712890625+0.026123046875j)
26,(-0.0115966796875+0.055755615234375j),(-0.0115966796875+0.055755615234375j),(-0.011566162109375+0.055755615234375j),(-0.01165771484375+0.0557861328125j),(-0.0115966796875+0.0557861328125j),(-0.011474609375+0.0556640625j)
27,(-0.015533447265625-0.094482421875j),(-0.0155029296875-0.09442138671875j),(-0.015533447265625-0.09442138671875j),(-0.0155029296875-0.09442138671875j),(-0.015625-0.0943603515625j),(-0.015625-0.094482421875j)
28,(0.084716796875-0.027618408203125j),(0.084716796875-0.027587890625j),(0.084747314453125-0.027587890625j),(0.084716796875-0.02764892578125j),(0.084716796875-0.027587890625j),(0.084716796875-0.027587890625j)
29,(-0.012939453125+0.1053466796875j),(-0.012939453125+0.1053466796875j),(-0.012908935546875+0.105316162109375j),(-0.012939453125+0.10540771484375j),(-0.012939453125+0.1053466796875j),(-0.012939453125+0.105224609375j)
30,(-0.024505615234375+0.03314208984375j),(-0.02447509765625+0.03314208984375j),(-0.0245361328125+0.0330810546875j),(-0.02447509765625+0.03314208984375j),(-0.0245361328125+0.033203125j),(-0.0244140625+0.033203125j)
31,(0.071746826171875+0.037200927734375j),(0.071746826171875+0.037139892578125j),(0.07171630859375+0.037139892578125j),(0.07171630859375+0.0372314453125j),(0.0716552734375+0.0372314453125j),(0.07177734375+0.037109375j)
32,(-0.067596435546875+0j),(-0.067596435546875+0j),(-0.067596435546875+0j),(-0.067626953125+0j),(-0.0675048828125+0j),(-0.067626953125+0j)
33,(0.071746826171875-0.03717041015625j),(0.07171630859375-0.037200927734375j),(0.07177734375-0.03717041015625j),(0.07171630859375-0.0372314453125j),(0.0716552734375-0.0372314453125j),(0.07177734375-0.037109375j)
34,(-0.024505615234375-0.03314208984375j),(-0.024505615234375-0.03314208984375j),(-0.024444580078125-0.03314208984375j),(-0.02447509765625-0.03314208984375j),(-0.0245361328125-0.033203125j),(-0.0244140625-0.033203125j)
35,(-0.012908935546875-0.1053466796875j),(-0.012939453125-0.105377197265625j),(-0.012939453125-0.1053466796875j),(-0.012939453125-0.10540771484375j),(-0.012939453125-0.1053466796875j),(-0.012939453125-0.10546875j)
36,(0.084716796875+0.027587890625j),(0.084716796875+0.027587890625j),(0.084716796875+0.027618408203125j),(0.084716796875+0.027587890625j),(0.084716796875+0.027587890625j),(0.084716796875+0.027587890625j)
37,(-0.0155029296875+0.094482421875j),(-0.0155029296875+0.094451904296875j),(-0.015533447265625+0.094451904296875j),(-0.0155029296875+0.09442138671875j),(-0.0155029296875+0.094482421875j),(-0.015380859375+0.094482421875j)
38,(-0.0115966796875-0.055755615234375j),(-0.0115966796875-0.055755615234375j),(-0.0115966796875-0.0557861328125j),(-0.01165771484375-0.05572509765625j),(-0.0115966796875-0.0557861328125j),(-0.011474609375-0.0556640625j)
39,(0.105804443359375-0.02618408203125j),(0.10577392578125-0.026153564453125j),(0.10577392578125-0.02618408203125j),(0.1058349609375-0.02618408203125j),(0.1058349609375-0.026123046875j),(0.105712890625-0.026123046875j)
40,(-0.014739990234375+0.00274658203125j),(-0.0147705078125+0.00274658203125j),(-0.0147705078125+0.002685546875j),(-0.01470947265625+0.00274658203125j),(-0.0147705078125+0.0028076171875j),(-0.0146484375+0.002685546875j)
41,(-0.009429931640625-0.066070556640625j),(-0.00946044921875-0.06610107421875j),(-0.009490966796875-0.06610107421875j),(-0.0093994140625-0.06610107421875j),(-0.0093994140625-0.0660400390625j),(-0.009521484375-0.066162109375j)
42,(-0.09002685546875-0.076904296875j),(-0.09002685546875-0.076873779296875j),(-0.09002685546875-0.076873779296875j),(-0.09002685546875-0.076904296875j),(-0.090087890625-0.076904296875j),(-0.090087890625-0.076904296875j)
43,(0.02490234375-0.003753662109375j),(0.024871826171875-0.003753662109375j),(0.02490234375-0.0037841796875j),(0.02490234375-0.00372314453125j),(0.02490234375-0.0037841796875j),(0.02490234375-0.003662109375j)
44,(0.041961669921875-0.030975341796875j),(0.041961669921875-0.030975341796875j),(0.0419921875-0.03094482421875j),(0.04193115234375-0.031005859375j),(0.0419921875-0.031005859375j),(0.0419921875-0.031005859375j)
45,(0.030242919921875-0.01312255859375j),(0.030242919921875-0.013092041015625j),(0.030181884765625-0.01312255859375j),(0.0302734375-0.01312255859375j),(0.0301513671875-0.01318359375j),(0.0302734375-0.01318359375j)
46,(0.024993896484375+0.076416015625j),(0.02496337890625+0.076385498046875j),(0.0250244140625+0.076385498046875j),(0.02496337890625+0.07647705078125j),(0.0250244140625+0.076416015625j),(0.02490234375+0.076416015625j)
47,(0.0306396484375+0.00653076171875j),(0.0306396484375+0.006500244140625j),(0.030670166015625+0.00653076171875j),(0.0306396484375+0.00653076171875j),(0.0306396484375+0.006591796875j),(0.030517578125+0.006591796875j)
48,(-0.0380859375+0.037445068359375j),(-0.038055419921875+0.037445068359375j),(-0.0380859375+0.037445068359375j),(-0.03802490234375+0.03741455078125j),(-0.0380859375+0.0374755859375j),(-0.0380859375+0.037353515625j)
49,(0.101470947265625-0.008819580078125j),(0.101470947265625-0.0087890625j),(0.10150146484375-0.0087890625j),(0.1014404296875-0.00885009765625j),(0.1014404296875-0.0087890625j),(0.1015625-0.0087890625j)
50,(-0.058074951171875-0.003997802734375j),(-0.058074951171875-0.003936767578125j),(-0.058074951171875-0.00396728515625j),(-0.05804443359375-0.00396728515625j),(-0.0579833984375-0.00390625j),(-0.05810546875-0.00390625j)
51,(-0.047943115234375-0.010223388671875j),(-0.0479736328125-0.010162353515625j),(-0.0479736328125-0.01019287109375j),(-0.0479736328125-0.01019287109375j),(-0.0479736328125-0.0101318359375j),(-0.0478515625-0.01025390625j)
52,(-0.019256591796875+0.099090576171875j),(-0.019256591796875+0.09912109375j),(-0.019256591796875+0.09912109375j),(-0.019287109375+0.09912109375j),(-0.019287109375+0.09912109375j),(-0.019287109375+0.09912109375j)
