,0,1,2,3,4,5
0,(-0.02197265625+0j),(-0.0224609375+0j),(-0.02197265625+0j),(-0.0205078125+0j),(-0.0234375+0j),(-0.01953125+0j)
1,(0.1282958984375-0.0059814453125j),(0.128173828125-0.005859375j),(0.12744140625-0.00439453125j),(0.126953125-0.00390625j),(0.126953125-0.005859375j),(0.125-0.00390625j)
2,(0.01251220703125-0.0816650390625j),(0.012451171875-0.0810546875j),(0.01171875-0.08056640625j),(0.0126953125-0.080078125j),(0.01171875-0.080078125j),(0.01171875-0.08203125j)
3,(-0.036712646484375+0.123626708984375j),(-0.037109375+0.123291015625j),(-0.03662109375+0.123046875j),(-0.0361328125+0.123046875j),(-0.03515625+0.123046875j),(-0.03515625+0.12109375j)
4,(-0.103759765625-0.00567626953125j),(-0.103271484375-0.0057373046875j),(-0.103515625-0.00634765625j),(-0.103515625-0.0048828125j),(-0.1015625-0.005859375j),(-0.1015625-0.00390625j)
5,(-0.106842041015625-0.04620361328125j),(-0.10662841796875-0.046173095703125j),(-0.1064453125-0.0458984375j),(-0.10546875-0.044921875j),(-0.10546875-0.044921875j),(-0.10546875-0.04296875j)
6,(0.073333740234375-0.036895751953125j),(0.0731201171875-0.036346435546875j),(0.07275390625-0.0361328125j),(0.072265625-0.0361328125j),(0.0703125-0.03515625j),(0.0703125-0.03515625j)
7,(0.02996826171875-0.056915283203125j),(0.02960205078125-0.05596923828125j),(0.02978515625-0.05712890625j),(0.0302734375-0.056640625j),(0.029296875-0.0546875j),(0.02734375-0.0546875j)
8,(0.0732421875-0.04852294921875j),(0.072845458984375-0.048187255859375j),(0.07293701171875-0.048858642578125j),(0.072265625-0.0478515625j),(0.072265625-0.046875j),(0.0703125-0.046875j)
9,(0.009002685546875-0.064697265625j),(0.00933837890625-0.064208984375j),(0.0093994140625-0.064788818359375j),(0.0087890625-0.0625j),(0.0078125-0.0625j),(0.0078125-0.0625j)
10,(-0.0797119140625-0.000701904296875j),(-0.07916259765625-0.001068115234375j),(-0.079437255859375-0.00067138671875j),(-0.0791015625-0.001953125j),(-0.078125-0.001953125j),(-0.078125+0j)
11,(-0.02459716796875+0.00177001953125j),(-0.025146484375+0.00128173828125j),(-0.0242919921875+0.002777099609375j),(-0.0263671875+0.0029296875j),(-0.025390625+0.001953125j),(-0.0234375+0j)
12,(0.002105712890625+0.01226806640625j),(0.0020751953125+0.01214599609375j),(0.001861572265625+0.0115966796875j),(0.001953125+0.0126953125j),(0.001953125+0.01171875j),0.01171875j
13,(0.00250244140625+0.070526123046875j),(0.002716064453125+0.070404052734375j),(0.002349853515625+0.070556640625j),(0.001953125+0.0693359375j),(0.001953125+0.0703125j),0.0703125j
14,(0.04315185546875+0.01031494140625j),(0.04290771484375+0.010009765625j),(0.04217529296875+0.010528564453125j),(0.04296875+0.0107421875j),(0.041015625+0.0078125j),(0.04296875+0.0078125j)
15,(0.00543212890625-0.012786865234375j),(0.00506591796875-0.01324462890625j),(0.005218505859375-0.0128173828125j),(0.005859375-0.013671875j),(0.005859375-0.013671875j),(0.00390625-0.01171875j)
16,(-0.1021728515625+0.0299072265625j),(-0.102294921875+0.030029296875j),(-0.1015625+0.03076171875j),(-0.1015625+0.0302734375j),(-0.1015625+0.029296875j),(-0.1015625+0.02734375j)
17,(-0.0062255859375+0.1470947265625j),(-0.0068359375+0.147216796875j),(-0.00634765625+0.14599609375j),(-0.005859375+0.146484375j),(-0.005859375+0.146484375j),(-0.00390625+0.14453125j)
18,(-0.028472900390625-0.00067138671875j),(-0.0283203125-0.000244140625j),(-0.02783203125+0j),(-0.02734375-0.0009765625j),(-0.029296875+0j),(-0.02734375+0j)
19,(-0.02423095703125-0.119049072265625j),(-0.024658203125-0.119140625j),(-0.0234375-0.11865234375j),(-0.025390625-0.1181640625j),(-0.021484375-0.1171875j),(-0.0234375-0.1171875j)
20,(0.03900146484375+0.02435302734375j),(0.03961181640625+0.02423095703125j),(0.0380859375+0.02490234375j),(0.0390625+0.0244140625j),(0.037109375+0.0234375j),(0.0390625+0.0234375j)
21,(-0.055389404296875+0.0797119140625j),(-0.056243896484375+0.0784912109375j),(-0.0556640625+0.078125j),(-0.0556640625+0.0791015625j),(-0.052734375+0.076171875j),(-0.0546875+0.078125j)
22,(0.00079345703125+0.03472900390625j),(0.00177001953125+0.0343017578125j),(0.0009765625+0.03369140625j),(-0.0009765625+0.03515625j),0.033203125j,0.03125j
23,(0.02191162109375-0.004302978515625j),(0.021728515625-0.00555419921875j),(0.02197265625-0.00341796875j),(0.0205078125-0.00390625j),(0.01953125-0.00390625j),(0.01953125-0.00390625j)
24,(-0.013916015625-0.02655029296875j),(-0.013763427734375-0.026702880859375j),(-0.01336669921875-0.026397705078125j),(-0.013671875-0.0263671875j),(-0.013671875-0.02734375j),(-0.01171875-0.0234375j)
25,(-0.013092041015625-0.04925537109375j),(-0.012664794921875-0.04931640625j),(-0.01190185546875-0.04925537109375j),(-0.0126953125-0.048828125j),(-0.013671875-0.05078125j),(-0.01171875-0.046875j)
26,(0.035552978515625+0.0179443359375j),(0.0352783203125+0.0179443359375j),(0.03472900390625+0.018035888671875j),(0.03515625+0.0166015625j),(0.03515625+0.01953125j),(0.03515625+0.015625j)
27,(-0.016448974609375-0.06298828125j),(-0.0164794921875-0.062164306640625j),(-0.016510009765625-0.06317138671875j),(-0.015625-0.0625j),(-0.015625-0.060546875j),(-0.015625-0.0625j)
28,(0.000579833984375+0.074737548828125j),(3.0517578125e-05+0.07470703125j),0.07366943359375j,0.0732421875j,0.072265625j,0.07421875j
29,(-0.0037841796875-0.025146484375j),(-0.004150390625-0.024627685546875j),(-0.003936767578125-0.025909423828125j),(-0.0029296875-0.025390625j),(-0.00390625-0.025390625j),(-0.00390625-0.0234375j)
30,(-0.04547119140625-0.052764892578125j),(-0.044830322265625-0.052886962890625j),(-0.045440673828125-0.052459716796875j),(-0.0439453125-0.052734375j),(-0.04296875-0.052734375j),(-0.04296875-0.05078125j)
31,(-0.0601806640625-0.01605224609375j),(-0.059295654296875-0.016082763671875j),(-0.060699462890625-0.016204833984375j),(-0.060546875-0.015625j),(-0.060546875-0.013671875j),(-0.05859375-0.015625j)
32,(0.059814453125+0j),(0.06005859375+0j),(0.05908203125+0j),(0.0595703125+0j),(0.05859375+0j),(0.05859375+0j)
33,(-0.0599365234375+0.0157470703125j),(-0.059326171875+0.01611328125j),(-0.06103515625+0.01611328125j),(-0.060546875+0.015625j),(-0.060546875+0.013671875j),(-0.05859375+0.015625j)
34,(-0.045501708984375+0.05279541015625j),(-0.045166015625+0.05322265625j),(-0.0439453125+0.05224609375j),(-0.0439453125+0.052734375j),(-0.04296875+0.052734375j),(-0.04296875+0.05078125j)
35,(-0.003997802734375+0.024566650390625j),(-0.00390625+0.024169921875j),(-0.00439453125+0.025390625j),(-0.0029296875+0.025390625j),(-0.00390625+0.025390625j),(-0.00390625+0.0234375j)
36,(0.0006103515625-0.074737548828125j),(3.0517578125e-05-0.07470703125j),-0.07470703125j,-0.0732421875j,-0.072265625j,-0.07421875j
37,(-0.016357421875+0.062713623046875j),(-0.016082763671875+0.062164306640625j),(-0.015625+0.0625j),(-0.015625+0.0625j),(-0.015625+0.060546875j),(-0.015625+0.0625j)
38,(0.035552978515625-0.0179443359375j),(0.035858154296875-0.017791748046875j),(0.03466796875-0.0185546875j),(0.03515625-0.0166015625j),(0.03515625-0.01953125j),(0.03515625-0.015625j)
39,(-0.013397216796875+0.049652099609375j),(-0.0125732421875+0.049407958984375j),(-0.01220703125+0.04931640625j),(-0.0126953125+0.048828125j),(-0.013671875+0.05078125j),(-0.01171875+0.046875j)
40,(-0.013916015625+0.02655029296875j),(-0.013763427734375+0.026702880859375j),(-0.01336669921875+0.026397705078125j),(-0.013671875+0.0263671875j),(-0.013671875+0.02734375j),(-0.01171875+0.0234375j)
41,(0.021759033203125+0.004638671875j),(0.021392822265625+0.005126953125j),(0.021820068359375+0.004241943359375j),(0.0205078125+0.00390625j),(0.01953125+0.00390625j),(0.01953125+0.00390625j)
42,(0.000762939453125-0.03472900390625j),(0.00054931640625-0.0345458984375j),(0.001312255859375-0.03448486328125j),(-0.0009765625-0.03515625j),-0.033203125j,-0.03125j
43,(-0.055694580078125-0.07891845703125j),(-0.055877685546875-0.07843017578125j),(-0.0567626953125-0.077972412109375j),(-0.0556640625-0.0791015625j),(-0.052734375-0.076171875j),(-0.0546875-0.078125j)
44,(0.03900146484375-0.02435302734375j),(0.03961181640625-0.02423095703125j),(0.039154052734375-0.0242919921875j),(0.0390625-0.0244140625j),(0.037109375-0.0234375j),(0.0390625-0.0234375j)
45,(-0.024658203125+0.11920166015625j),(-0.0247802734375+0.1190185546875j),(-0.023834228515625+0.118865966796875j),(-0.025390625+0.1181640625j),(-0.021484375+0.1171875j),(-0.0234375+0.1171875j)
46,(-0.0284423828125+0.000701904296875j),(-0.028717041015625+3.0517578125e-05j),(-0.02752685546875+0.00018310546875j),(-0.02734375+0.0009765625j),(-0.029296875+0j),(-0.02734375+0j)
47,(-0.00640869140625-0.14764404296875j),(-0.006561279296875-0.146759033203125j),(-0.007171630859375-0.1453857421875j),(-0.005859375-0.146484375j),(-0.005859375-0.146484375j),(-0.00390625-0.14453125j)
48,(-0.1021728515625-0.0299072265625j),(-0.102294921875-0.030029296875j),(-0.1015625-0.03076171875j),(-0.1015625-0.0302734375j),(-0.1015625-0.029296875j),(-0.1015625-0.02734375j)
49,(0.0047607421875+0.0135498046875j),(0.00537109375+0.013427734375j),(0.00439453125+0.01220703125j),(0.005859375+0.013671875j),(0.005859375+0.013671875j),(0.00390625+0.01171875j)
50,(0.043182373046875-0.01031494140625j),(0.04248046875-0.010009765625j),(0.04248046875-0.0107421875j),(0.04296875-0.0107421875j),(0.041015625-0.0078125j),(0.04296875-0.0078125j)
51,(0.002105712890625-0.07080078125j),(0.002197265625-0.0703125j),(0.001953125-0.07080078125j),(0.001953125-0.0693359375j),(0.001953125-0.0703125j),-0.0703125j
52,(0.002105712890625-0.01226806640625j),(0.002105712890625-0.01214599609375j),(0.0029296875-0.01220703125j),(0.001953125-0.0126953125j),(0.001953125-0.01171875j),-0.01171875j
53,(-0.02496337890625-0.00103759765625j),(-0.025054931640625-0.001739501953125j),(-0.025390625-0.0029296875j),(-0.0263671875-0.0029296875j),(-0.025390625-0.001953125j),(-0.0234375+0j)
54,(-0.0797119140625+0.000732421875j),(-0.08050537109375+0.001251220703125j),(-0.0791015625+0.00146484375j),(-0.0791015625+0.001953125j),(-0.078125+0.001953125j),(-0.078125+0j)
55,(0.0089111328125+0.0643310546875j),(0.00909423828125+0.063873291015625j),(0.00927734375+0.06396484375j),(0.0087890625+0.0625j),(0.0078125+0.0625j),(0.0078125+0.0625j)
56,(0.0732421875+0.04852294921875j),(0.072845458984375+0.048187255859375j),(0.07293701171875+0.048858642578125j),(0.072265625+0.0478515625j),(0.072265625+0.046875j),(0.0703125+0.046875j)
57,(0.029693603515625+0.05706787109375j),(0.029754638671875+0.056640625j),(0.02947998046875+0.05706787109375j),(0.0302734375+0.056640625j),(0.029296875+0.0546875j),(0.02734375+0.0546875j)
58,(0.0733642578125+0.03692626953125j),(0.0736083984375+0.036224365234375j),(0.07269287109375+0.036651611328125j),(0.072265625+0.0361328125j),(0.0703125+0.03515625j),(0.0703125+0.03515625j)
59,(-0.106964111328125+0.046051025390625j),(-0.1065673828125+0.046539306640625j),(-0.105560302734375+0.04656982421875j),(-0.10546875+0.044921875j),(-0.10546875+0.044921875j),(-0.10546875+0.04296875j)
60,(-0.103729248046875+0.00567626953125j),(-0.103271484375+0.0057373046875j),(-0.103515625+0.00738525390625j),(-0.103515625+0.0048828125j),(-0.1015625+0.005859375j),(-0.1015625+0.00390625j)
61,(-0.0369873046875-0.12408447265625j),(-0.037200927734375-0.122802734375j),(-0.037078857421875-0.122528076171875j),(-0.0361328125-0.123046875j),(-0.03515625-0.123046875j),(-0.03515625-0.12109375j)
62,(0.012481689453125+0.0816650390625j),(0.0120849609375+0.08087158203125j),(0.013214111328125+0.080780029296875j),(0.0126953125+0.080078125j),(0.01171875+0.080078125j),(0.01171875+0.08203125j)
63,(0.127960205078125+0.005584716796875j),(0.128173828125+0.00518798828125j),(0.127105712890625+0.004486083984375j),(0.126953125+0.00390625j),(0.126953125+0.005859375j),(0.125+0.00390625j)
