,0,1,2,3
0,16,"[16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16]",64.2754895080338
1,15,"[15, 15, 15, 15, 15, 16]","[15, 15, 15, 15, 15, 15]",58.165146333049805
2,14,"[14, 14, 14, 14, 14, 16]","[14, 14, 14, 14, 14, 14]",52.52260209191322
