,0,1,2,3
0,16,"[16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16]",64.2754895080338
1,15,"[15, 15, 15, 15, 15, 16]","[15, 15, 15, 15, 15, 15]",58.165146333049805
2,14,"[14, 14, 14, 14, 14, 16]","[14, 14, 14, 14, 14, 14]",52.52260209191322
3,13,"[13, 13, 13, 13, 13, 16]","[13, 13, 13, 13, 13, 13]",46.46441177756023
4,12,"[12, 12, 12, 12, 12, 16]","[12, 12, 12, 12, 12, 12]",40.608630182090316
