,0,1,2
0,"[13, 13, 13, 13, 13, 16]","[12, 13, 13, 13, 13, 13]",45.88208840257891
1,"[12, 13, 13, 13, 13, 16]","[12, 12, 13, 13, 13, 13]",45.1570303143423
2,"[11, 13, 13, 13, 13, 16]","[12, 11, 13, 13, 13, 13]",43.493025280884474
3,"[12, 13, 13, 13, 13, 16]","[12, 12, 13, 13, 13, 13]",45.1570303143423
4,"[12, 12, 13, 13, 13, 16]","[12, 12, 12, 13, 13, 13]",44.3696073424915
5,"[12, 13, 13, 13, 13, 16]","[12, 12, 13, 13, 13, 13]",45.1570303143423
6,"[12, 13, 12, 13, 13, 16]","[12, 12, 13, 12, 13, 13]",44.11586112378733
7,"[12, 13, 13, 13, 13, 16]","[12, 12, 13, 13, 13, 13]",45.1570303143423
8,"[12, 13, 13, 12, 13, 16]","[12, 12, 13, 13, 12, 13]",43.890469443935125
9,"[12, 13, 13, 13, 13, 16]","[12, 12, 13, 13, 13, 13]",45.1570303143423
10,"[12, 13, 13, 13, 12, 16]","[12, 12, 13, 13, 13, 12]",41.6294023406091
