,0,1
0,"[16, 16, 16, 16, 16, 16]",55.4400546065737
1,"[15, 16, 16, 16, 16, 16]",55.34563036715562
2,"[14, 16, 16, 16, 16, 16]",55.24722841526974
3,"[13, 16, 16, 16, 16, 16]",54.77875858501956
4,"[14, 16, 16, 16, 16, 16]",55.24722841526974
5,"[14, 15, 16, 16, 16, 16]",55.16191115594321
6,"[14, 14, 16, 16, 16, 16]",55.06178504881871
7,"[14, 13, 16, 16, 16, 16]",54.50825336070394
8,"[14, 14, 16, 16, 16, 16]",55.06178504881871
9,"[14, 14, 15, 16, 16, 16]",54.9615559591941
10,"[14, 14, 16, 16, 16, 16]",55.06178504881871
11,"[14, 14, 16, 15, 16, 16]",54.94384287549161
