,0,1,2
0,"[16, 16, 16, 16, 16, 16]","[16, 9, 16, 16, 16, 16]",39.727451656560554
1,"[16, 15, 16, 16, 16, 16]","[16, 9, 16, 15, 16, 16]",39.69053814709645
2,"[16, 14, 16, 16, 16, 16]","[16, 9, 16, 14, 16, 16]",39.59344586116513
3,"[16, 13, 16, 16, 16, 16]","[16, 9, 16, 13, 16, 16]",39.3510075171313
4,"[16, 12, 16, 16, 16, 16]","[16, 9, 16, 12, 16, 16]",38.80201078481723
5,"[16, 11, 16, 16, 16, 16]","[16, 9, 16, 11, 16, 16]",37.740382095817786
6,"[16, 10, 16, 16, 16, 16]","[16, 9, 16, 10, 16, 16]",35.41150160354787
7,"[16, 9, 16, 16, 16, 16]","[16, 9, 16, 9, 16, 16]",31.702347504008777
8,"[16, 10, 16, 16, 16, 16]","[16, 9, 16, 10, 16, 16]",35.41150160354787
9,"[16, 10, 16, 15, 16, 16]","[16, 9, 16, 10, 16, 15]",35.39665183680369
10,"[16, 10, 16, 14, 16, 16]","[16, 9, 16, 10, 16, 14]",35.285400004236045
11,"[16, 10, 16, 13, 16, 16]","[16, 9, 16, 10, 16, 13]",35.06691104607998
12,"[16, 10, 16, 12, 16, 16]","[16, 9, 16, 10, 16, 12]",34.5849610614573
