,0,1
0,"[16, 16, 16, 16, 16, 16]",47.640028152230464
1,"[15, 16, 16, 16, 16, 16]",47.580962331606486
2,"[14, 16, 16, 16, 16, 16]",47.54362316653373
3,"[13, 16, 16, 16, 16, 16]",47.37464560448544
4,"[12, 16, 16, 16, 16, 16]",47.03643481784577
5,"[11, 16, 16, 16, 16, 16]",46.204665604934924
6,"[10, 16, 16, 16, 16, 16]",44.495517045017905
7,"[11, 16, 16, 16, 16, 16]",46.204665604934924
8,"[11, 15, 16, 16, 16, 16]",46.170348766391655
9,"[11, 14, 16, 16, 16, 16]",46.1355951188378
10,"[11, 13, 16, 16, 16, 16]",45.9481335466549
11,"[11, 12, 16, 16, 16, 16]",45.79811692444731
12,"[11, 11, 16, 16, 16, 16]",45.35698847117221
13,"[11, 10, 16, 16, 16, 16]",44.041933382433
14,"[11, 11, 16, 16, 16, 16]",45.35698847117221
15,"[11, 11, 15, 16, 16, 16]",45.327702722712466
16,"[11, 11, 14, 16, 16, 16]",45.327702722712466
17,"[11, 11, 13, 16, 16, 16]",45.27664994604823
18,"[11, 11, 12, 16, 16, 16]",45.16622209359263
19,"[11, 11, 11, 16, 16, 16]",44.90245828883747
20,"[11, 11, 12, 16, 16, 16]",45.16622209359263
21,"[11, 11, 12, 15, 16, 16]",45.131401609326616
22,"[11, 11, 12, 14, 16, 16]",45.131401609326616
23,"[11, 11, 12, 13, 16, 16]",45.131401609326616
24,"[11, 11, 12, 12, 16, 16]",45.131401609326616
25,"[11, 11, 12, 11, 16, 16]",45.131401609326616
26,"[11, 11, 12, 10, 16, 16]",45.131401609326616
27,"[11, 11, 12, 9, 16, 16]",42.6970657858243
