,0,1,2
0,"[16, 16, 16, 16, 16, 16]","[12, 16, 16, 16, 16, 16]",56.401253986121134
1,"[15, 16, 16, 16, 16, 16]","[12, 15, 16, 16, 16, 16]",56.160742052146155
2,"[14, 16, 16, 16, 16, 16]","[12, 14, 16, 16, 16, 16]",55.62294259225817
3,"[13, 16, 16, 16, 16, 16]","[12, 13, 16, 16, 16, 16]",54.20970756040011
4,"[14, 16, 16, 16, 16, 16]","[12, 14, 16, 16, 16, 16]",55.62294259225817
5,"[14, 15, 16, 16, 16, 16]","[12, 14, 15, 16, 16, 16]",55.316272665883226
6,"[14, 14, 16, 16, 16, 16]","[12, 14, 14, 16, 16, 16]",54.60100656578875
7,"[14, 15, 16, 16, 16, 16]","[12, 14, 15, 16, 16, 16]",55.316272665883226
8,"[14, 15, 15, 16, 16, 16]","[12, 14, 15, 15, 16, 16]",54.825049271436384
9,"[14, 15, 16, 16, 16, 16]","[12, 14, 15, 16, 16, 16]",55.316272665883226
10,"[14, 15, 16, 15, 15, 16]","[12, 14, 15, 16, 15, 15]",53.730104735015736
