,0,1,2,3
0,16,"[16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16]",64.60808598988882
1,15,"[15, 15, 15, 15, 15, 16]","[15, 15, 15, 15, 15, 15]",58.453395652534745
2,14,"[14, 14, 14, 14, 14, 16]","[14, 14, 14, 14, 14, 14]",52.83290064022097
