,0,1,2,3
0,16,"[16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16]",64.60808598988882
1,15,"[15, 15, 15, 15, 15, 16]","[15, 15, 15, 15, 15, 15]",58.453395652534745
2,14,"[14, 14, 14, 14, 14, 16]","[14, 14, 14, 14, 14, 14]",52.83290064022097
3,13,"[13, 13, 13, 13, 13, 16]","[13, 13, 13, 13, 13, 13]",46.739117412223315
4,12,"[12, 12, 12, 12, 12, 16]","[12, 12, 12, 12, 12, 12]",40.730568945632534
5,11,"[11, 11, 11, 11, 11, 16]","[11, 11, 11, 11, 11, 11]",34.77960089610916
