,0
0,0.012166976928710938
1,0.029175081083084344
2,0.04774549020205056
3,0.04887173002327073
4,0.0628346922643278
5,0.03099694410200142
6,0.09862845944582757
7,0.06008912253189784
8,0.06322594964470679
9,0.136924512060796
10,0.09994843178305006
11,0.11297579241486659
12,0.05330540658738124
13,0.06282404693679765
14,0.04666742419322486
15,0.04559584588605702
16,0.07661339883049416
17,0.05492675735954948
18,0.0645307037910397
19,0.0757737392709108
20,0.049146940335066315
21,0.06769044623430283
22,0.06192012427119326
23,0.022812390137476397
24,0.12416218552692693
25,0.08155041396544885
26,0.08053853968150718
27,0.044492191811840845
28,0.045790921788830395
29,0.032262735671436685
30,0.07646966511731598
31,0.07129411262601741
32,0.13325977325439453
33,0.07129411262601741
34,0.07646966511731598
35,0.032262735671436685
36,0.045790921788830395
37,0.044492191811840845
38,0.08053853968150718
39,0.08155041396544885
40,0.12416218552692693
41,0.022812390137476397
42,0.06192012427119326
43,0.06769044623430283
44,0.049146940335066315
45,0.0757737392709108
46,0.0645307037910397
47,0.05492675735954948
48,0.07661339883049416
49,0.04559584588605702
50,0.04666742419322486
51,0.06282404693679765
52,0.05330540658738124
53,0.11297579241486659
54,0.09994843178305006
55,0.136924512060796
56,0.06322594964470679
57,0.06008912253189784
58,0.09862845944582757
59,0.03099694410200142
60,0.0628346922643278
61,0.04887173002327073
62,0.04774549020205056
63,0.029175081083084344
