,0
0,0.028999805450439453
1,0.05754302211082113
2,0.08558941009071942
3,0.05212312326609489
4,0.033036371515228424
5,0.04594716458271808
6,0.04358334365332992
7,0.11020198537960943
8,0.012266426494802807
9,0.0664834938385765
10,0.06340011561883463
11,0.06587623845109782
12,0.09762182594829447
13,0.0736069214346379
14,0.06312770039929928
15,0.05013016370203931
16,0.0816743287301809
17,0.05767639953951032
18,0.015713526571507434
19,0.04866538110002417
20,0.021187614952394303
21,0.05247716087924243
22,0.06590988270201718
23,0.0827652826524537
24,0.1118053205051664
25,0.05934798285154112
26,0.034928839037711205
27,0.06023716050418372
28,0.056708821287331575
29,0.07880789766192073
30,0.03718401418919523
31,0.1263877009499811
32,0.13848447799682617
33,0.1263877009499811
34,0.03718401418919523
35,0.07880789766192073
36,0.056708821287331575
37,0.06023716050418372
38,0.034928839037711205
39,0.05934798285154112
40,0.1118053205051664
41,0.0827652826524537
42,0.06590988270201718
43,0.05247716087924243
44,0.021187614952394303
45,0.04866538110002417
46,0.015713526571507434
47,0.05767639953951032
48,0.0816743287301809
49,0.05013016370203931
50,0.06312770039929928
51,0.0736069214346379
52,0.09762182594829447
53,0.06587623845109782
54,0.06340011561883463
55,0.0664834938385765
56,0.012266426494802807
57,0.11020198537960943
58,0.04358334365332992
59,0.04594716458271808
60,0.033036371515228424
61,0.05212312326609489
62,0.08558941009071942
63,0.05754302211082113
