,0,1
0,"[16, 16, 16, 16, 16, 16]",55.334389849808844
1,"[15, 16, 16, 16, 16, 16]",55.24091320461469
2,"[14, 16, 16, 16, 16, 16]",55.14384324588096
3,"[13, 16, 16, 16, 16, 16]",54.681677311587336
4,"[14, 16, 16, 16, 16, 16]",55.14384324588096
5,"[14, 15, 16, 16, 16, 16]",55.05948351780869
6,"[14, 14, 16, 16, 16, 16]",54.96051648211709
7,"[14, 15, 16, 16, 16, 16]",55.05948351780869
8,"[14, 15, 15, 16, 16, 16]",54.95933246000207
9,"[14, 15, 16, 16, 16, 16]",55.05948351780869
10,"[14, 15, 16, 15, 16, 16]",54.94916856640433
