,0,1
0,"[16, 16, 16, 16, 16, 16]",49.397406757032655
1,"[15, 16, 16, 16, 16, 16]",49.397406757032655
2,"[14, 16, 16, 16, 16, 16]",49.397406757032655
3,"[13, 16, 16, 16, 16, 16]",49.397406757032655
4,"[12, 16, 16, 16, 16, 16]",49.397406757032655
5,"[11, 16, 16, 16, 16, 16]",49.397406757032655
6,"[10, 16, 16, 16, 16, 16]",45.24255692948771
7,"[9, 16, 16, 16, 16, 16]",39.78746646795977
8,"[10, 16, 16, 16, 16, 16]",45.24255692948771
9,"[10, 15, 16, 16, 16, 16]",45.19704354586863
10,"[10, 14, 16, 16, 16, 16]",45.00710698449471
11,"[10, 13, 16, 16, 16, 16]",44.60444543326712
12,"[10, 14, 16, 16, 16, 16]",45.00710698449471
13,"[10, 14, 15, 16, 16, 16]",45.00710698449471
14,"[10, 14, 14, 16, 16, 16]",44.79358405347609
15,"[10, 14, 15, 16, 16, 16]",45.00710698449471
16,"[10, 14, 15, 15, 16, 16]",44.933025304157184
17,"[10, 14, 15, 16, 16, 16]",45.00710698449471
18,"[10, 14, 15, 16, 15, 16]",44.651491251393665
